SubjectID,StimID,svg_z_all_enc,svg_z_inter_enc,n_fixations_enc,aoi_prop_enc,mean_salience_enc,low_n_enc,svg_z_all_dec,svg_z_inter_dec,n_fixations_dec,aoi_prop_dec,mean_salience_dec,low_n_dec,n_shared_enc_dec,lcs_enc_dec,tau_enc_dec,n_relational_correct,n_objects_correct,n_relational_incorrect,n_objects_incorrect,n_relational_total,any_relational_correct,empty_response,writing_length,svg_z_all_enc_z,lcs_enc_dec_z,n_fixations_enc_z,aoi_prop_enc_z,mean_salience_enc_z
Encode-Decode_Experiment-1-1,2371471,2.189755,1.881612,34,1.0,0.32853,False,1.137792,0.246634,16,1.0,0.102446,False,3.0,0.5,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,84.0,0.4905461806282142,-0.37473056330316556,-0.2137962238289109,0.9721175020277478,1.5712132364046487
Encode-Decode_Experiment-1-1,2387122,-0.323269,-2.151738,33,0.8788,0.308556,False,0.271113,,20,0.85,0.150246,False,4.0,0.6,0.666667,3.0,4.0,0.0,1.0,3.0,1.0,0.0,111.0,-1.1981491302946126,-0.0016221593941582384,-0.4373914412499804,-0.4328881731425287,1.329063821174054
Encode-Decode_Experiment-1-1,2387122,-0.323269,-2.151738,33,0.8788,0.308556,False,0.271113,,20,0.85,0.150246,False,4.0,0.6,0.666667,2.0,5.0,0.0,0.0,2.0,1.0,0.0,111.0,-1.1981491302946126,-0.0016221593941582384,-0.4373914412499804,-0.4328881731425287,1.329063821174054
Encode-Decode_Experiment-1-1,2374670,-0.450497,-0.29457,39,0.9231,0.212175,False,0.840992,1.124747,22,1.0,0.216077,False,3.0,0.428571,1.0,2.0,3.0,0.0,0.0,2.0,1.0,0.0,44.0,-1.283643469790809,-0.6412381651313306,0.9041798632764366,0.08065763057069962,0.16061469784673077
Encode-Decode_Experiment-1-1,2356991,2.042876,1.93149,37,0.8919,0.161358,False,,,20,0.9,0.10691,False,2.0,0.5,1.0,4.0,4.0,1.0,0.0,5.0,1.0,0.0,140.0,0.39184681342239625,-0.37473056330316556,0.45698942843429763,-0.2810269986810549,-0.4554515299380462
Encode-Decode_Experiment-1-1,2412687,2.684105,3.839132,29,0.8966,0.127853,False,,,14,0.8571,0.065487,False,2.0,1.0,1.0,2.0,3.0,0.0,0.0,2.0,1.0,0.0,59.0,0.8227382038459391,1.4908114562418715,-1.3317723109342585,-0.22654245517197735,-0.8616403833124869
Encode-Decode_Experiment-1-1,2360001,-0.759455,-0.986798,38,0.9737,0.279301,False,1.259106,1.299048,19,0.9474,0.095826,False,3.0,0.4,0.333333,2.0,4.0,0.0,0.0,2.0,1.0,0.0,41.0,-1.491256260544934,-0.7478389672121729,0.6805846458553672,0.6672359074982241,0.9743986993871788
Encode-Decode_Experiment-1-1,2397102,2.442422,1.205847,35,1.0,0.145785,False,-0.16838,-0.725665,21,0.9048,0.054078,False,2.0,0.4,1.0,4.0,5.0,0.0,0.0,4.0,1.0,0.0,101.0,0.6603326920681918,-0.7478389672121729,0.009798993592158614,0.9721175020277478,-0.644246605705847
Encode-Decode_Experiment-1-1,150472,1.524928,,30,1.0,0.08805,False,0.201968,-0.60794,12,1.0,0.161246,False,3.0,0.2,-1.0,3.0,8.0,0.0,0.0,3.0,1.0,0.0,86.0,0.04379746773295734,-1.494055775030188,-1.108177093513189,0.9721175020277478,-1.3441813452842184
Encode-Decode_Experiment-1-1,2379478,3.123572,3.150713,35,0.9714,0.406243,False,,,24,0.9167,0.458496,False,2.0,0.4,1.0,,,,,,,,46.0,1.118050091915978,-0.7478389672121729,0.009798993592158614,0.6405732585469734,2.5133458841374625
Encode-Decode_Experiment-1-1,2369373,1.282086,-0.578715,40,1.0,0.232915,False,0.271149,,13,1.0,0.100731,False,2.0,0.666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.11938686584090472,0.24711802023985988,1.1277750806975062,0.9721175020277478,0.4120505079940492
Encode-Decode_Experiment-1-1,2347025,0.117342,-1.28591,39,0.9487,0.101181,False,2.071172,3.625921,19,0.9474,0.081798,False,5.0,0.6,0.4,2.0,3.0,0.0,0.0,2.0,1.0,0.0,75.0,-0.9020685000893229,-0.0016221593941582384,0.9041798632764366,0.3774245058541899,-1.1849911995250846
Encode-Decode_Experiment-1-1,2349475,1.407713,1.576306,37,0.973,0.070533,False,2.281704,,19,1.0,0.055809,False,4.0,0.333333,-0.333333,,,,,,,,169.0,-0.034968362147624485,-0.9965791468461911,0.45698942843429763,0.6591211882521909,-1.5565439820417197
Encode-Decode_Experiment-1-1,2394020,1.766696,0.022806,33,0.8182,0.211957,False,1.519606,1.114345,23,0.9565,0.29959,False,3.0,0.25,-1.0,3.0,6.0,0.0,0.0,3.0,1.0,0.0,68.0,0.20626009758893563,-1.3075015730756843,-0.4373914412499804,-1.135391010727667,0.15797183349706276
Encode-Decode_Experiment-1-1,2362704,-0.742402,-0.997488,28,0.9286,0.175742,False,,,19,0.7895,0.088457,False,2.0,1.0,1.0,1.0,5.0,0.0,0.0,1.0,1.0,0.0,51.0,-1.479797030097009,1.4908114562418715,-1.5553675283553279,0.1444161389323865,-0.28107097578380186
Encode-Decode_Experiment-1-1,2385550,2.182082,0.702347,34,0.9412,0.305476,False,1.194956,2.394971,18,1.0,0.236058,False,2.0,0.333333,-1.0,3.0,4.0,0.0,0.0,3.0,1.0,0.0,134.0,0.4853900981074301,-0.9965791468461911,-0.2137962238289109,0.2904810853609803,1.2917242698117717
Encode-Decode_Experiment-1-1,2410309,1.990765,0.730909,36,0.9444,0.285861,False,0.664864,-2.080411,23,1.0,0.176868,False,5.0,0.6,0.2,2.0,3.0,1.0,0.0,3.0,1.0,0.0,70.0,0.35682939960243276,-0.0016221593941582384,0.23339421101322813,0.3275769447714164,1.0539270944964554
Encode-Decode_Experiment-1-1,2356125,1.74309,1.09801,34,0.9706,0.284523,False,,,18,1.0,0.071504,False,3.0,0.5,0.333333,4.0,7.0,0.0,0.0,4.0,1.0,0.0,122.0,0.19039739929809388,-0.37473056330316556,-0.2137962238289109,0.6312992936943641,1.0377062114695943
Encode-Decode_Experiment-1-1,2348899,4.695271,4.992679,32,1.0,0.205595,False,0.123366,0.478218,17,0.9412,0.12461,False,3.0,0.4,-0.333333,5.0,6.0,0.0,0.0,5.0,1.0,0.0,161.0,2.1741962852997645,-0.7478389672121729,-0.6609866586710499,0.9721175020277478,0.08084383811821798
Encode-Decode_Experiment-1-1,2350974,4.514891,5.032661,38,0.8158,0.278012,False,-0.486995,-0.430392,17,1.0,0.211749,False,4.0,0.4,-0.666667,2.0,4.0,0.0,1.0,2.0,1.0,0.0,46.0,2.052985003519623,-0.7478389672121729,0.6805846458553672,-1.1632129052854951,0.9587718546774439
Encode-Decode_Experiment-1-1,2383555,1.242228,0.236224,34,0.9706,0.165578,False,0.414656,1.032961,17,0.9412,0.189631,False,5.0,0.6,0.0,,,,,,,,119.0,-0.14617054068951815,-0.0016221593941582384,-0.2137962238289109,0.6312992936943641,-0.4042914952793344
Encode-Decode_Experiment-1-1,2409918,2.316643,2.147798,35,1.0,0.149448,False,-0.912559,0.108231,20,0.85,0.088457,False,4.0,0.75,0.666667,4.0,5.0,0.0,0.0,4.0,1.0,0.0,89.0,0.5758120478114865,0.558040446469353,0.009798993592158614,0.9721175020277478,-0.5998392106928467
Encode-Decode_Experiment-1-1,2347400,0.201341,0.200143,30,0.9,0.241136,False,-1.135227,-1.013811,21,1.0,0.069835,False,3.0,0.4,0.333333,4.0,6.0,0.0,0.0,4.0,1.0,0.0,70.0,-0.8456230712266434,-0.7478389672121729,-1.108177093513189,-0.1871281045483879,0.5117155897308427
Encode-Decode_Experiment-1-1,2408717,1.537246,1.346318,37,0.8649,0.207272,False,-0.418121,,26,0.9231,0.048856,False,2.0,0.666667,1.0,1.0,4.0,0.0,0.0,1.0,1.0,0.0,83.0,0.052074885234719,0.24711802023985988,0.45698942843429763,-0.5940233124566119,0.10117449644112327
Encode-Decode_Experiment-1-1,2386442,2.891137,3.235214,37,0.973,0.134292,False,-0.230409,0.137945,18,1.0,0.102708,False,4.0,0.5,0.333333,2.0,5.0,0.0,0.0,2.0,1.0,0.0,76.0,0.9618590270497662,-0.37473056330316556,0.45698942843429763,0.6591211882521909,-0.7835788991495852
Encode-Decode_Experiment-1-1,2385851,0.248483,1.028884,31,0.9032,0.15682,False,0.152334,0.40323,16,0.9375,0.152109,False,5.0,0.333333,-0.2,1.0,5.0,0.0,0.0,1.0,1.0,0.0,42.0,-0.8139447130623266,-0.9965791468461911,-0.8845818760921195,-0.1500322451379518,-0.5104667520426043
Encode-Decode_Experiment-1-1,2344622,-0.001997,-1.048945,24,0.7917,0.254556,False,,,18,1.0,0.166048,True,2.0,1.0,1.0,2.0,4.0,0.0,0.0,2.0,1.0,0.0,41.0,-0.9822616099482895,1.4908114562418715,-2.449748398039606,-1.442591096470344,0.6744093492379312
Encode-Decode_Experiment-1-1,2411268,2.790374,3.413571,32,0.9688,0.234453,False,1.786146,2.46011,20,1.0,0.08537,False,3.0,0.5,0.333333,2.0,5.0,0.0,0.0,2.0,1.0,0.0,54.0,0.8941485692051467,-0.37473056330316556,-0.6609866586710499,0.6104328727759933,0.4306960372132667
