SubjectID,StimID,TrialID,QuestionNumber,q_accuracy,svg_z_inter_dec,svg_z_all_dec,n_fixations_dec,aoi_prop_dec,mean_salience_dec,low_n_dec,n_shared_enc_dec,PresentOrder,svg_z_inter_dec_z,n_fixations_dec_z,aoi_prop_dec_z,mean_salience_dec_z
Encode-Decode_Experiment-1-1,2356125,Encode-Decode_Experiment-1-1_2356125,1.0,1.0,,,15,0.9333,0.048053,False,2.0,1.0,,0.6999874848419431,-0.6504867541907212,-0.9699631041194717
Encode-Decode_Experiment-1-1,2356125,Encode-Decode_Experiment-1-1_2356125,2.0,1.0,,,15,0.9333,0.048053,False,2.0,2.0,,0.6999874848419431,-0.6504867541907212,-0.9699631041194717
Encode-Decode_Experiment-1-1,2347400,Encode-Decode_Experiment-1-1_2347400,1.0,1.0,,,11,1.0,0.072117,False,2.0,2.0,,-0.4389752023585064,0.41061976358289315,-0.783994406288428
Encode-Decode_Experiment-1-1,2347400,Encode-Decode_Experiment-1-1_2347400,2.0,1.0,,,11,1.0,0.072117,False,2.0,1.0,,-0.4389752023585064,0.41061976358289315,-0.783994406288428
Encode-Decode_Experiment-1-1,2411268,Encode-Decode_Experiment-1-1_2411268,1.0,0.0,,,12,1.0,0.082449,False,1.0,2.0,,-0.15423453055839403,0.41061976358289315,-0.7041478061392282
Encode-Decode_Experiment-1-1,2411268,Encode-Decode_Experiment-1-1_2411268,2.0,1.0,,,12,1.0,0.082449,False,1.0,1.0,,-0.15423453055839403,0.41061976358289315,-0.7041478061392282
Encode-Decode_Experiment-1-1,2385550,Encode-Decode_Experiment-1-1_2385550,1.0,1.0,,1.805294,7,0.8571,0.305564,False,1.0,2.0,,-1.577937889558956,-1.8627253846907135,1.020104438565447
Encode-Decode_Experiment-1-1,2385550,Encode-Decode_Experiment-1-1_2385550,2.0,0.0,,1.805294,7,0.8571,0.305564,False,1.0,1.0,,-1.577937889558956,-1.8627253846907135,1.020104438565447
Encode-Decode_Experiment-1-1,2350974,Encode-Decode_Experiment-1-1_2350974,1.0,1.0,1.808383,1.866232,13,1.0,0.156467,False,1.0,1.0,0.7955784282831903,0.13050614124171833,0.41061976358289315,-0.13213022485356551
Encode-Decode_Experiment-1-1,2350974,Encode-Decode_Experiment-1-1_2350974,2.0,0.0,1.808383,1.866232,13,1.0,0.156467,False,1.0,2.0,0.7955784282831903,0.13050614124171833,0.41061976358289315,-0.13213022485356551
Encode-Decode_Experiment-1-1,2383555,Encode-Decode_Experiment-1-1_2383555,1.0,0.0,0.90401,1.294222,12,1.0,0.199914,False,2.0,1.0,0.32085689493139424,-0.15423453055839403,0.41061976358289315,0.20363199317607858
Encode-Decode_Experiment-1-1,2383555,Encode-Decode_Experiment-1-1_2383555,2.0,0.0,0.90401,1.294222,12,1.0,0.199914,False,2.0,2.0,0.32085689493139424,-0.15423453055839403,0.41061976358289315,0.20363199317607858
Encode-Decode_Experiment-1-1,2387122,Encode-Decode_Experiment-1-1_2387122,1.0,1.0,,-0.440099,12,0.9167,0.220736,False,3.0,2.0,,-0.15423453055839403,-0.9145702353757597,0.3645462313009949
Encode-Decode_Experiment-1-1,2387122,Encode-Decode_Experiment-1-1_2387122,2.0,1.0,,-0.440099,12,0.9167,0.220736,False,3.0,1.0,,-0.15423453055839403,-0.9145702353757597,0.3645462313009949
Encode-Decode_Experiment-1-1,2360001,Encode-Decode_Experiment-1-1_2360001,1.0,1.0,,,7,0.8571,0.15661,False,2.0,2.0,,-1.577937889558956,-1.8627253846907135,-0.1310251083396925
Encode-Decode_Experiment-1-1,2360001,Encode-Decode_Experiment-1-1_2360001,2.0,1.0,,,7,0.8571,0.15661,False,2.0,1.0,,-1.577937889558956,-1.8627253846907135,-0.1310251083396925
Encode-Decode_Experiment-1-1,2374670,Encode-Decode_Experiment-1-1_2374670,1.0,0.0,,,11,1.0,0.196646,False,2.0,1.0,,-0.4389752023585064,0.41061976358289315,0.17837660319470164
Encode-Decode_Experiment-1-1,2374670,Encode-Decode_Experiment-1-1_2374670,2.0,1.0,,,11,1.0,0.196646,False,2.0,2.0,,-0.4389752023585064,0.41061976358289315,0.17837660319470164
Encode-Decode_Experiment-1-1,150472,Encode-Decode_Experiment-1-1_150472,1.0,1.0,,,13,1.0,0.119899,False,2.0,2.0,,0.13050614124171833,0.41061976358289315,-0.4147309289046626
Encode-Decode_Experiment-1-1,150472,Encode-Decode_Experiment-1-1_150472,2.0,1.0,,,13,1.0,0.119899,False,2.0,1.0,,0.13050614124171833,0.41061976358289315,-0.4147309289046626
Encode-Decode_Experiment-1-1,2412687,Encode-Decode_Experiment-1-1_2412687,1.0,1.0,,,10,1.0,0.03754,False,2.0,2.0,,-0.7237158741586188,0.41061976358289315,-1.0512084881079091
Encode-Decode_Experiment-1-1,2412687,Encode-Decode_Experiment-1-1_2412687,2.0,1.0,,,10,1.0,0.03754,False,2.0,1.0,,-0.7237158741586188,0.41061976358289315,-1.0512084881079091
Encode-Decode_Experiment-1-1,2369373,Encode-Decode_Experiment-1-1_2369373,1.0,0.0,,-1.085162,11,1.0,0.133884,False,3.0,2.0,,-0.4389752023585064,0.41061976358289315,-0.3066536250828897
Encode-Decode_Experiment-1-1,2369373,Encode-Decode_Experiment-1-1_2369373,2.0,0.0,,-1.085162,11,1.0,0.133884,False,3.0,1.0,,-0.4389752023585064,0.41061976358289315,-0.3066536250828897
Encode-Decode_Experiment-1-1,2370664,Encode-Decode_Experiment-1-1_2370664,1.0,0.0,,,13,1.0,0.113094,False,2.0,1.0,,0.13050614124171833,0.41061976358289315,-0.467320564407499
Encode-Decode_Experiment-1-1,2370664,Encode-Decode_Experiment-1-1_2370664,2.0,0.0,,,13,1.0,0.113094,False,2.0,2.0,,0.13050614124171833,0.41061976358289315,-0.467320564407499
Encode-Decode_Experiment-1-1,2410309,Encode-Decode_Experiment-1-1_2410309,1.0,1.0,,,21,1.0,0.183814,False,2.0,2.0,,2.4084315156426173,0.41061976358289315,0.079209784271499
Encode-Decode_Experiment-1-1,2410309,Encode-Decode_Experiment-1-1_2410309,2.0,1.0,,,21,1.0,0.183814,False,2.0,1.0,,2.4084315156426173,0.41061976358289315,0.079209784271499
Encode-Decode_Experiment-1-1,2394020,Encode-Decode_Experiment-1-1_2394020,1.0,1.0,-0.350771,0.354202,9,0.8889,0.192867,False,3.0,1.0,-0.3378000534081736,-1.0084565459587311,-1.356830523143472,0.14917216049591883
Encode-Decode_Experiment-1-1,2394020,Encode-Decode_Experiment-1-1_2394020,2.0,1.0,-0.350771,0.354202,9,0.8889,0.192867,False,3.0,2.0,-0.3378000534081736,-1.0084565459587311,-1.356830523143472,0.14917216049591883
Encode-Decode_Experiment-1-1,2348899,Encode-Decode_Experiment-1-1_2348899,1.0,1.0,3.938627,2.369161,17,1.0,0.111402,False,3.0,2.0,1.91378153484814,1.2694688284421678,0.41061976358289315,-0.4803964884737442
Encode-Decode_Experiment-1-1,2348899,Encode-Decode_Experiment-1-1_2348899,2.0,1.0,3.938627,2.369161,17,1.0,0.111402,False,3.0,1.0,1.91378153484814,1.2694688284421678,0.41061976358289315,-0.4803964884737442
Encode-Decode_Experiment-1-1,2362704,Encode-Decode_Experiment-1-1_2362704,1.0,1.0,-0.634966,-0.589359,17,1.0,0.121488,False,3.0,1.0,-0.48697908260399625,1.2694688284421678,0.41061976358289315,-0.40245099785190636
