SubjectID,StimID,svg_z_all_enc,svg_z_inter_enc,n_fixations_enc,aoi_prop_enc,mean_salience_enc,low_n_enc,svg_z_all_dec,svg_z_inter_dec,n_fixations_dec,aoi_prop_dec,mean_salience_dec,low_n_dec,n_shared_enc_dec,lcs_enc_dec,tau_enc_dec,n_relational_correct,n_objects_correct,n_relational_incorrect,n_objects_incorrect,n_relational_total,any_relational_correct,empty_response,writing_length,lcs_enc_dec_z,tau_enc_dec_z,n_fixations_dec_z,aoi_prop_dec_z,mean_salience_dec_z
Encode-Decode_Experiment-1-1,2371471,2.189755,1.881612,34,1.0,0.32853,False,1.137792,0.246634,16,1.0,0.102446,False,3.0,0.5,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,84.0,-0.34282759941566715,0.047710288121820904,0.4848086332880217,0.610208466671487,-0.44911157124683576
Encode-Decode_Experiment-1-1,2387122,-0.323269,-2.151738,33,0.8788,0.308556,False,0.271113,,20,0.85,0.150246,False,4.0,0.6,0.666667,3.0,4.0,0.0,1.0,3.0,1.0,0.0,111.0,0.09265882009024706,0.5147742816728049,1.3159091474960587,-0.9109237700768265,0.08516532919998705
Encode-Decode_Experiment-1-1,2387122,-0.323269,-2.151738,33,0.8788,0.308556,False,0.271113,,20,0.85,0.150246,False,4.0,0.6,0.666667,2.0,5.0,0.0,0.0,2.0,1.0,0.0,111.0,0.09265882009024706,0.5147742816728049,1.3159091474960587,-0.9109237700768265,0.08516532919998705
Encode-Decode_Experiment-1-1,2374670,-0.450497,-0.29457,39,0.9231,0.212175,False,0.840992,1.124747,22,1.0,0.216077,False,3.0,0.428571,1.0,2.0,3.0,0.0,0.0,2.0,1.0,0.0,44.0,-0.6538911940045468,0.9818368740346106,1.7314594046000773,0.610208466671487,0.8209808654618028
Encode-Decode_Experiment-1-1,2356991,2.042876,1.93149,37,0.8919,0.161358,False,,,20,0.9,0.10691,False,2.0,0.5,1.0,4.0,4.0,1.0,0.0,5.0,1.0,0.0,140.0,-0.34282759941566715,0.9818368740346106,1.3159091474960587,-0.4038796911607216,-0.3992159209624294
Encode-Decode_Experiment-1-1,2412687,2.684105,3.839132,29,0.8966,0.127853,False,,,14,0.8571,0.065487,False,2.0,1.0,1.0,2.0,3.0,0.0,0.0,2.0,1.0,0.0,59.0,1.8346044981139045,0.9818368740346106,0.06925837618400321,-0.8389235108707397,-0.8622149177659596
Encode-Decode_Experiment-1-1,2360001,-0.759455,-0.986798,38,0.9737,0.279301,False,1.259106,1.299048,19,0.9474,0.095826,False,3.0,0.4,0.333333,2.0,4.0,0.0,0.0,2.0,1.0,0.0,41.0,-0.7783140189215814,0.047710288121820904,1.1081340189440494,0.07679809565174535,-0.5231055687564167
Encode-Decode_Experiment-1-1,2397102,2.442422,1.205847,35,1.0,0.145785,False,-0.16838,-0.725665,21,0.9048,0.054078,False,2.0,0.4,1.0,4.0,5.0,0.0,0.0,4.0,1.0,0.0,101.0,-0.7783140189215814,0.9818368740346106,1.523684276048068,-0.3552034595847753,-0.9897372013893446
Encode-Decode_Experiment-1-1,150472,1.524928,,30,1.0,0.08805,False,0.201968,-0.60794,12,1.0,0.161246,False,3.0,0.2,-1.0,3.0,8.0,0.0,0.0,3.0,1.0,0.0,86.0,-1.6492868579334101,-1.8205414825145803,-0.3462918809200153,0.610208466671487,0.2081160803488376
Encode-Decode_Experiment-1-1,2379478,3.123572,3.150713,35,0.9714,0.406243,False,,,24,0.9167,0.458496,False,2.0,0.4,1.0,,,,,,,,46.0,-0.7783140189215814,0.9818368740346106,2.1470096617040957,-0.23452696880274335,3.530580696621183
