model,term,coef,std_err,z_or_t,p,ci_lower,ci_upper,optimizer,n_obs,n_dropped
H2_total,Intercept,0.5587,0.0093,60.22145227447492,0.0,0.5406,0.5769,nm,610,20
H2_total,svg_z_enc_within_z,0.0255,0.0095,2.673684037737725,0.0075,0.0068,0.0441,nm,610,20
H2_total,n_fixations_enc_z,0.0234,0.0095,2.4679924675012193,0.0136,0.0048,0.042,nm,610,20
H2_total,mean_salience_relational_enc_z,-0.0195,0.0094,-2.086908683633445,0.0369,-0.0379,-0.0012,nm,610,20
H2_total,svg_z_enc_image_mean_z,-0.0014,0.0094,-0.14893010030837683,0.8816,-0.0198,0.017,nm,610,20
H2_relations,Intercept,0.4621,0.0105,43.863073935206025,0.0,0.4414,0.4827,nm,610,20
H2_relations,svg_z_enc_within_z,0.0242,0.0108,2.2379509903458565,0.0252,0.003,0.0454,nm,610,20
H2_relations,n_fixations_enc_z,0.0179,0.0108,1.6588019652671997,0.0972,-0.0032,0.039,nm,610,20
H2_relations,mean_salience_relational_enc_z,-0.0109,0.0106,-1.0233779858224443,0.3061,-0.0317,0.01,nm,610,20
H2_relations,svg_z_enc_image_mean_z,0.0352,0.0107,3.306622318384034,0.0009,0.0143,0.0561,nm,610,20
H2_objects,Intercept,0.5592,0.0095,58.77460480472053,0.0,0.5405,0.5778,nm,610,20
H2_objects,svg_z_enc_within_z,0.0242,0.0098,2.4787385682362957,0.0132,0.0051,0.0433,nm,610,20
H2_objects,n_fixations_enc_z,0.0169,0.0097,1.7343447010399897,0.0829,-0.0022,0.036,nm,610,20
H2_objects,mean_salience_relational_enc_z,-0.0155,0.0096,-1.6132347190303926,0.1067,-0.0343,0.0033,nm,610,20
H2_objects,svg_z_enc_image_mean_z,-0.0163,0.0096,-1.6912856470066826,0.0908,-0.0351,0.0026,nm,610,20
H2_dec_total,Intercept,0.5787,0.0038,152.1664573477046,0.0,0.5713,0.5862,nm,295,186
H2_dec_total,svg_z_dec_within_z,0.0004,0.0136,0.03146743855430217,0.9749,-0.0263,0.0271,nm,295,186
H2_dec_total,n_fixations_dec_z,0.0023,0.0137,0.16746296181033538,0.867,-0.0246,0.0292,nm,295,186
H2_dec_total,mean_salience_relational_dec_z,0.0056,0.0126,0.4492427050525839,0.6533,-0.019,0.0303,nm,295,186
H2_dec_total,svg_z_dec_image_mean_z,-0.0043,0.0142,-0.300996055129783,0.7634,-0.0322,0.0236,nm,295,186
H2_dec_relations,Intercept,0.4768,0.0156,30.55631915742858,0.0,0.4463,0.5074,nm,295,186
H2_dec_relations,svg_z_dec_within_z,0.0043,0.0157,0.27339323742671734,0.7846,-0.0265,0.0351,nm,295,186
H2_dec_relations,n_fixations_dec_z,0.0134,0.0158,0.8460774256794517,0.3975,-0.0176,0.0444,nm,295,186
H2_dec_relations,mean_salience_relational_dec_z,0.0238,0.0146,1.6229885894968408,0.1046,-0.0049,0.0524,nm,295,186
H2_dec_relations,svg_z_dec_image_mean_z,-0.0134,0.0166,-0.8045376183215707,0.4211,-0.0459,0.0192,nm,295,186
H2_dec_objects,Intercept,0.5861,0.0139,42.24744292825176,0.0,0.5589,0.6132,nm,295,186
H2_dec_objects,svg_z_dec_within_z,0.0001,0.014,0.010025799634732954,0.992,-0.0273,0.0275,nm,295,186
H2_dec_objects,n_fixations_dec_z,0.0025,0.0141,0.17692559398337496,0.8596,-0.0251,0.0301,nm,295,186
H2_dec_objects,mean_salience_relational_dec_z,0.0092,0.013,0.7077336421541789,0.4791,-0.0163,0.0347,nm,295,186
H2_dec_objects,svg_z_dec_image_mean_z,-0.0092,0.0148,-0.6200196138453783,0.5352,-0.0381,0.0198,nm,295,186
