SubjectID,StimID,Question,Accuracy,RT_ms,Response,CorrectKey,TrialIndex
Encode-Decode_Experiment-4-1,1091,75 - 51 = ?,1,5105,1,1,1
Encode-Decode_Experiment-4-1,1131,45 + 16 = ?,1,3738,2,2,2
Encode-Decode_Experiment-4-1,1088,73 + 58 = ?,0,5483,4,1,3
Encode-Decode_Experiment-4-1,1005,11 * 12 = ?,1,8268,1,1,4
Encode-Decode_Experiment-4-1,1010,36 + 28 = ?,1,6526,1,1,5
Encode-Decode_Experiment-4-1,1120,10 * 11 = ?,1,2614,4,4,6
Encode-Decode_Experiment-4-1,1136,4 * 10 = ?,1,2163,4,4,7
Encode-Decode_Experiment-4-1,1060,12 * 10 = ?,1,2626,2,2,8
Encode-Decode_Experiment-4-1,1083,93 - 87 = ?,1,4062,1,1,9
Encode-Decode_Experiment-4-1,1104,55 + 31 = ?,1,4009,2,2,10
Encode-Decode_Experiment-4-1,1021,46 + 1 = ?,1,1853,2,2,11
Encode-Decode_Experiment-4-1,1125,100 - 84 = ?,1,2433,1,1,12
Encode-Decode_Experiment-4-1,1098,37 + 22 = ?,1,6869,3,3,13
Encode-Decode_Experiment-4-1,1072,44 + 41 = ?,1,3184,2,2,14
Encode-Decode_Experiment-4-1,1006,100 - 87 = ?,1,2086,1,1,15
Encode-Decode_Experiment-4-1,1052,31 + 28 = ?,1,4816,4,4,16
Encode-Decode_Experiment-4-1,1121,100 - 71 = ?,1,3428,3,3,17
Encode-Decode_Experiment-4-1,1080,31 + 56 = ?,1,3768,2,2,18
Encode-Decode_Experiment-4-1,1118,96 - 9 = ?,1,4871,3,3,19
Encode-Decode_Experiment-4-1,1063,52 + 33 = ?,1,4922,2,2,20
Encode-Decode_Experiment-4-1,1017,58 - 37 = ?,1,4235,2,2,21
Encode-Decode_Experiment-4-1,1100,59 - 13 = ?,1,3302,4,4,22
Encode-Decode_Experiment-4-1,1059,38 - 25 = ?,1,4959,3,3,23
Encode-Decode_Experiment-4-1,1036,4 * 10 = ?,1,2382,3,3,24
Encode-Decode_Experiment-4-1,1076,12 * 12 = ?,1,2020,2,2,25
Encode-Decode_Experiment-4-1,1124,3 * 12 = ?,1,3009,2,2,26
Encode-Decode_Experiment-4-1,1130,12 * 6 = ?,1,4269,4,4,27
Encode-Decode_Experiment-4-1,1107,95 - 2 = ?,1,2224,3,3,28
Encode-Decode_Experiment-4-1,1022,97 - 86 = ?,1,4324,2,2,29
Encode-Decode_Experiment-4-1,1025,17 + 42 = ?,1,3420,3,3,30
Encode-Decode_Experiment-4-1,1012,63 - 35 = ?,1,4489,1,1,31
Encode-Decode_Experiment-4-1,1097,54 - 48 = ?,1,6787,1,1,32
Encode-Decode_Experiment-4-1,1044,12 * 9 = ?,1,2097,4,4,33
Encode-Decode_Experiment-4-1,1042,34 + 34 = ?,1,2482,4,4,34
Encode-Decode_Experiment-4-1,1068,7 * 10 = ?,1,1564,2,2,35
Encode-Decode_Experiment-4-1,1002,10 * 11 = ?,1,2187,1,1,36
Encode-Decode_Experiment-4-1,1009,30 + 17 = ?,1,2185,1,1,37
Encode-Decode_Experiment-4-1,1070,11 * 11 = ?,1,1551,2,2,38
Encode-Decode_Experiment-4-1,1132,46 - 11 = ?,1,2558,3,3,39
Encode-Decode_Experiment-4-1,1126,74 - 6 = ?,1,2637,3,3,40
Encode-Decode_Experiment-4-1,1078,56 + 15 = ?,1,2889,1,1,41
Encode-Decode_Experiment-4-1,1057,27 - 8 = ?,1,2627,2,2,42
Encode-Decode_Experiment-4-1,1142,12 * 8 = ?,1,3070,3,3,43
Encode-Decode_Experiment-4-1,1105,75 + 74 = ?,1,3537,3,3,44
Encode-Decode_Experiment-4-1,1040,74 - 58 = ?,1,4833,4,4,45
Encode-Decode_Experiment-4-1,1082,100 - 3 = ?,0,1901,3,2,46
Encode-Decode_Experiment-4-1,1066,100 - 79 = ?,1,2687,1,1,47
Encode-Decode_Experiment-4-1,1113,71 + 87 = ?,1,4809,1,1,48
Encode-Decode_Experiment-4-1,1110,83 + 43 = ?,1,4165,2,2,49
Encode-Decode_Experiment-4-1,1146,100 - 80 = ?,1,1932,3,3,50
Encode-Decode_Experiment-4-1,1058,84 + 92 = ?,1,3964,4,4,51
Encode-Decode_Experiment-4-1,1019,3 * 10 = ?,1,1675,2,2,52
Encode-Decode_Experiment-4-1,1129,24 + 94 = ?,1,3981,2,2,53
Encode-Decode_Experiment-4-1,1089,100 - 28 = ?,0,0,,2,54
Encode-Decode_Experiment-4-1,1081,9 * 11 = ?,0,0,,3,55
