SubjectID,StimID,Phase,svg_z,svg_obs,svg_null_mean,svg_null_std
Encode-Decode_Experiment-1-1,2347400,encoding,0.212464,0.222222,0.199444,0.107208
Encode-Decode_Experiment-10-1,2347400,encoding,0.444285,0.4,0.3264,0.165659
Encode-Decode_Experiment-11-1,2347400,encoding,1.436542,0.318182,0.179818,0.096317
Encode-Decode_Experiment-12-1,2347400,encoding,1.382448,0.263158,0.141895,0.087716
Encode-Decode_Experiment-13-1,2347400,encoding,-0.285091,0.25,0.2829,0.115402
Encode-Decode_Experiment-14-1,2347400,encoding,2.033132,0.375,0.195417,0.088328
Encode-Decode_Experiment-15-1,2347400,encoding,-0.862426,0.272727,0.374,0.117428
Encode-Decode_Experiment-16-1,2347400,encoding,0.556506,0.222222,0.176407,0.082326
Encode-Decode_Experiment-17-1,2347400,encoding,1.893527,0.421053,0.220158,0.106096
Encode-Decode_Experiment-18-1,2347400,encoding,1.855788,0.5,0.299583,0.107995
Encode-Decode_Experiment-19-1,2347400,encoding,2.016231,0.444444,0.216444,0.113082
Encode-Decode_Experiment-2-1,2347400,encoding,2.66112,0.5,0.200667,0.112484
Encode-Decode_Experiment-3-1,2347400,encoding,1.877402,0.409091,0.217,0.102317
Encode-Decode_Experiment-4-1,2347400,encoding,0.428775,0.26087,0.218957,0.097751
Encode-Decode_Experiment-5-1,2347400,encoding,-0.821669,0.076923,0.174385,0.118614
Encode-Decode_Experiment-6-1,2347400,encoding,2.17182,0.421053,0.197526,0.102921
Encode-Decode_Experiment-7-1,2347400,encoding,1.044923,0.181818,0.101318,0.077039
Encode-Decode_Experiment-8-1,2347400,encoding,0.440057,0.257143,0.221514,0.080964
Encode-Decode_Experiment-9-1,2347400,encoding,1.758862,0.478261,0.286565,0.108988
