SubjectID,StimID,CueText,Phase,ViewingNumber,TrialIndex,TrialID,SaccStart_ms,SaccEnd_ms,Duration_ms,StartX,StartY,EndX,EndY,PeakVelocity
Encode-Decode_Experiment-1-1,2349475,blender,encoding,1,1,1,632,664,32,1000.1,587.5,707.0,529.2,320.6
Encode-Decode_Experiment-1-1,2349475,blender,encoding,1,1,1,952,980,28,713.2,533.8,674.2,600.2,103.8
Encode-Decode_Experiment-1-1,2349475,blender,encoding,1,1,1,1126,1156,30,675.8,598.5,1010.7,589.0,370.4
Encode-Decode_Experiment-1-1,2349475,blender,encoding,1,1,1,1368,1424,56,1018.2,600.7,630.0,761.9,432.0
Encode-Decode_Experiment-1-1,2349475,blender,encoding,1,1,1,1886,1980,94,627.0,795.0,1452.9,585.9,533.9
Encode-Decode_Experiment-1-1,2349475,blender,encoding,1,1,1,2210,2264,54,1441.3,575.7,1048.7,789.5,436.8
Encode-Decode_Experiment-1-1,2349475,blender,encoding,1,1,1,2428,2472,44,1026.1,794.5,1510.9,494.8,464.0
Encode-Decode_Experiment-1-1,2349475,blender,encoding,1,1,1,2716,2754,38,1553.5,482.7,1533.7,332.6,297.9
Encode-Decode_Experiment-1-1,2349475,blender,encoding,1,1,1,2954,3014,60,1530.3,322.1,1282.2,659.3,412.4
Encode-Decode_Experiment-1-1,2349475,blender,encoding,1,1,1,3222,3290,68,1294.1,658.6,603.5,651.3,510.4
Encode-Decode_Experiment-1-1,2349475,blender,encoding,1,1,1,3500,3520,20,631.2,650.5,662.3,551.5,200.8
Encode-Decode_Experiment-1-1,2349475,blender,encoding,1,1,1,4052,4068,16,671.0,545.3,705.3,573.4,66.4
Encode-Decode_Experiment-1-1,2349475,blender,encoding,1,1,1,4422,4438,16,668.6,602.2,678.3,659.9,105.0
Encode-Decode_Experiment-1-1,2349475,blender,encoding,1,1,1,4844,4866,22,683.8,651.7,694.6,725.6,116.7
Encode-Decode_Experiment-1-1,2345035,football,encoding,1,2,2,6154,6196,42,923.8,587.4,933.2,762.5,329.7
Encode-Decode_Experiment-1-1,2345035,football,encoding,1,2,2,6350,6376,26,926.4,791.9,741.4,858.8,264.9
Encode-Decode_Experiment-1-1,2345035,football,encoding,1,2,2,6744,6788,44,750.2,856.4,684.6,535.2,457.7
Encode-Decode_Experiment-1-1,2345035,football,encoding,1,2,2,6992,7034,42,678.2,524.3,617.9,352.9,311.7
Encode-Decode_Experiment-1-1,2345035,football,encoding,1,2,2,7286,7326,40,620.8,348.2,1178.5,261.1,505.1
Encode-Decode_Experiment-1-1,2345035,football,encoding,1,2,2,7710,7736,26,1195.7,260.6,1129.9,327.3,148.6
Encode-Decode_Experiment-1-1,2345035,football,encoding,1,2,2,7902,7946,44,1126.2,328.3,922.2,418.2,383.5
Encode-Decode_Experiment-1-1,2345035,football,encoding,1,2,2,8140,8184,44,900.4,452.2,816.9,545.3,246.6
Encode-Decode_Experiment-1-1,2345035,football,encoding,1,2,2,8592,8626,34,814.1,572.2,881.0,631.8,209.5
Encode-Decode_Experiment-1-1,2345035,football,encoding,1,2,2,9934,9970,36,900.5,638.4,1023.7,332.3,365.3
Encode-Decode_Experiment-1-1,2345035,football,encoding,1,2,2,10486,10516,30,1031.4,360.4,1011.1,398.4,128.6
Encode-Decode_Experiment-1-1,2370664,donuts,encoding,1,3,3,10768,10778,10,942.2,584.8,978.8,579.9,66.9
Encode-Decode_Experiment-1-1,2370664,donuts,encoding,1,3,3,11038,11088,50,964.6,586.6,630.1,696.3,368.9
Encode-Decode_Experiment-1-1,2370664,donuts,encoding,1,3,3,11542,11594,52,602.7,711.0,1020.3,525.5,462.5
Encode-Decode_Experiment-1-1,2370664,donuts,encoding,1,3,3,12046,12108,62,1051.9,491.0,1446.5,589.7,453.5
Encode-Decode_Experiment-1-1,2370664,donuts,encoding,1,3,3,12328,12358,30,1440.0,589.4,1483.2,622.9,148.2
Encode-Decode_Experiment-1-1,2370664,donuts,encoding,1,3,3,12494,12556,62,1485.7,631.0,1040.7,453.9,581.9
Encode-Decode_Experiment-1-1,2370664,donuts,encoding,1,3,3,12696,12720,24,1052.8,459.8,1047.5,521.0,97.8
Encode-Decode_Experiment-1-1,2370664,donuts,encoding,1,3,3,12926,12986,60,1040.7,509.0,543.4,663.3,529.4
Encode-Decode_Experiment-1-1,2370664,donuts,encoding,1,3,3,13222,13254,32,558.6,691.4,495.7,597.1,239.6
Encode-Decode_Experiment-1-1,2370664,donuts,encoding,1,3,3,13376,13430,54,481.6,607.1,1008.6,437.1,529.1
Encode-Decode_Experiment-1-1,2370664,donuts,encoding,1,3,3,13928,13948,20,1030.7,437.9,954.7,413.5,107.8
Encode-Decode_Experiment-1-1,2370664,donuts,encoding,1,3,3,14182,14232,50,969.3,420.3,1427.3,540.7,485.9
Encode-Decode_Experiment-1-1,2370664,donuts,encoding,1,3,3,14456,14518,62,1466.7,560.7,984.3,397.8,514.7
Encode-Decode_Experiment-1-1,2370664,donuts,encoding,1,3,3,14692,14714,22,1004.7,391.6,982.1,445.0,100.5
Encode-Decode_Experiment-1-1,2370664,donuts,encoding,1,3,3,15542,15590,48,977.6,433.3,1341.2,476.8,428.5
Encode-Decode_Experiment-1-1,2348899,tie,encoding,1,4,4,16316,16342,26,945.9,604.8,823.4,671.5,178.4
Encode-Decode_Experiment-1-1,2348899,tie,encoding,1,4,4,16582,16634,52,834.2,659.3,927.3,867.6,372.0
Encode-Decode_Experiment-1-1,2348899,tie,encoding,1,4,4,17192,17204,12,927.2,883.3,931.9,853.9,56.3
Encode-Decode_Experiment-1-1,2348899,tie,encoding,1,4,4,17842,17886,44,927.6,834.2,1421.4,598.5,437.9
Encode-Decode_Experiment-1-1,2348899,tie,encoding,1,4,4,18246,18338,92,1457.0,596.3,286.3,557.0,689.6
Encode-Decode_Experiment-1-1,2348899,tie,encoding,1,4,4,18700,18730,30,302.6,562.4,400.4,639.0,189.6
Encode-Decode_Experiment-1-1,2348899,tie,encoding,1,4,4,18906,18946,40,409.6,628.4,446.1,710.2,220.7
Encode-Decode_Experiment-1-1,2348899,tie,encoding,1,4,4,19090,19142,52,459.0,734.0,557.6,387.1,582.6
Encode-Decode_Experiment-1-1,2348899,tie,encoding,1,4,4,19432,19460,28,577.1,356.3,537.3,272.7,195.5
Encode-Decode_Experiment-1-1,2348899,tie,encoding,1,4,4,19648,19660,12,522.0,281.1,481.1,273.7,68.9
