SubjectID,StimID,CueText,Phase,TrialIndex,TrialID,SaccStart_ms,SaccEnd_ms,Duration_ms,StartX,StartY,EndX,EndY,PeakVelocity
Encode-Decode_Experiment-19-1,2412687,dog,encoding,1,1,442,462,20,957.8,578.8,885.6,631.3,116.4
Encode-Decode_Experiment-19-1,2412687,dog,encoding,1,1,752,764,12,875.6,643.5,867.9,669.5,50.2
Encode-Decode_Experiment-19-1,2412687,dog,encoding,1,1,1004,1026,22,870.2,675.8,990.8,615.4,160.3
Encode-Decode_Experiment-19-1,2412687,dog,encoding,1,1,1258,1434,176,870.2,675.8,990.8,615.4,0.0
Encode-Decode_Experiment-19-1,2412687,dog,encoding,1,1,1886,1892,6,1063.8,539.5,1045.6,542.6,48.0
Encode-Decode_Experiment-19-1,2412687,dog,encoding,1,1,2020,2212,192,1035.4,543.9,1548.9,111.9,364.9
Encode-Decode_Experiment-19-1,2412687,dog,encoding,1,1,2328,2356,28,1579.3,46.2,1766.0,65.5,151.7
Encode-Decode_Experiment-19-1,2412687,dog,encoding,1,1,2574,2578,4,1775.0,65.1,1783.4,58.8,41.6
Encode-Decode_Experiment-19-1,2412687,dog,encoding,1,1,2760,2790,30,1794.8,49.1,1583.6,20.1,170.5
Encode-Decode_Experiment-19-1,2412687,dog,encoding,1,1,3178,3264,86,1575.9,7.1,1700.5,944.1,344.5
Encode-Decode_Experiment-19-1,2412687,dog,encoding,1,1,3454,3472,18,1696.4,915.1,1789.3,930.7,102.6
Encode-Decode_Experiment-19-1,2412687,dog,encoding,1,1,3666,3678,12,1801.1,927.6,1765.2,967.3,91.4
Encode-Decode_Experiment-19-1,2412687,dog,encoding,1,1,3820,3858,38,1759.3,969.5,1382.8,1002.7,249.7
Encode-Decode_Experiment-19-1,2412687,dog,encoding,1,1,4432,4504,72,1402.1,1011.7,455.2,705.9,337.3
Encode-Decode_Experiment-19-1,2412687,dog,encoding,1,1,4720,4750,30,494.7,738.1,330.7,640.6,162.4
Encode-Decode_Experiment-19-1,2348899,tie,encoding,2,2,5392,5412,20,963.6,564.9,853.3,596.4,141.5
Encode-Decode_Experiment-19-1,2348899,tie,encoding,2,2,5544,5576,32,832.6,602.7,884.7,795.8,204.8
Encode-Decode_Experiment-19-1,2348899,tie,encoding,2,2,5720,5960,240,832.6,602.7,884.7,795.8,0.0
Encode-Decode_Experiment-19-1,2348899,tie,encoding,2,2,6584,6866,282,944.0,967.6,484.7,596.1,331.8
Encode-Decode_Experiment-19-1,2348899,tie,encoding,2,2,6988,7026,38,476.8,497.3,159.7,603.1,218.9
Encode-Decode_Experiment-19-1,2348899,tie,encoding,2,2,7246,7450,204,166.1,598.6,166.1,598.6,51.3
Encode-Decode_Experiment-19-1,2348899,tie,encoding,2,2,8070,8120,50,1370.9,433.9,1080.2,888.6,339.5
Encode-Decode_Experiment-19-1,2348899,tie,encoding,2,2,8356,8372,16,1087.6,871.0,1012.0,877.6,105.5
Encode-Decode_Experiment-19-1,2348899,tie,encoding,2,2,8578,8594,16,999.4,878.8,957.8,837.6,86.9
Encode-Decode_Experiment-19-1,2348899,tie,encoding,2,2,8912,8952,40,952.5,814.7,815.9,555.5,248.5
Encode-Decode_Experiment-19-1,2348899,tie,encoding,2,2,9490,9540,50,820.2,555.3,519.0,227.4,300.3
Encode-Decode_Experiment-19-1,2348899,tie,encoding,2,2,9698,9714,16,530.7,227.0,588.6,253.8,93.9
Encode-Decode_Experiment-19-1,2348899,tie,encoding,2,2,9888,9900,12,588.4,261.7,588.9,232.1,62.0
Encode-Decode_Experiment-19-1,2394020,horse ride,encoding,3,3,10520,10540,20,976.1,572.4,911.1,638.2,123.9
Encode-Decode_Experiment-19-1,2394020,horse ride,encoding,3,3,10686,10710,24,899.8,652.6,759.0,702.5,152.8
Encode-Decode_Experiment-19-1,2394020,horse ride,encoding,3,3,10818,10842,24,752.2,703.9,610.6,651.1,144.9
Encode-Decode_Experiment-19-1,2394020,horse ride,encoding,3,3,11226,11256,30,590.6,617.7,698.3,752.4,164.8
Encode-Decode_Experiment-19-1,2394020,horse ride,encoding,3,3,11492,11730,238,704.7,752.0,1383.0,599.2,304.8
Encode-Decode_Experiment-19-1,2394020,horse ride,encoding,3,3,11918,11944,26,1355.1,595.3,1484.0,677.7,160.8
Encode-Decode_Experiment-19-1,2394020,horse ride,encoding,3,3,12282,12314,32,1497.1,683.1,1619.2,854.0,200.0
Encode-Decode_Experiment-19-1,2394020,horse ride,encoding,3,3,12726,12766,40,1630.0,861.4,1642.4,578.7,239.2
Encode-Decode_Experiment-19-1,2394020,horse ride,encoding,3,3,12930,12954,24,1646.2,579.8,1511.8,643.8,163.1
Encode-Decode_Experiment-19-1,2394020,horse ride,encoding,3,3,13092,13126,34,1501.8,644.1,1182.6,596.8,231.1
Encode-Decode_Experiment-19-1,2394020,horse ride,encoding,3,3,13234,13280,46,1180.4,595.5,717.0,640.5,261.0
Encode-Decode_Experiment-19-1,2394020,horse ride,encoding,3,3,13534,13556,22,718.2,641.6,848.0,661.1,137.6
Encode-Decode_Experiment-19-1,2394020,horse ride,encoding,3,3,13750,13778,28,851.6,665.6,902.0,502.1,201.3
Encode-Decode_Experiment-19-1,2394020,horse ride,encoding,3,3,13946,13954,8,901.6,499.4,873.1,497.6,59.9
