SubjectID,StimID,CueText,Phase,ViewingNumber,TrialIndex,TrialID,FixStart_ms,FixEnd_ms,Duration_ms,GazeX,GazeY,ImgX,ImgY,ObjectID,ObjectName,AssignmentMethod,ProximityDist_px,SalienceAtFixation
Encode-Decode_Experiment-1-1,2349475,blender,encoding,1.0,1,1,4,630,626,1004.8,561.8,535.89,399.5,2.0,smoothie inside the blender with orange liquid.,polygon,,0.027759
Encode-Decode_Experiment-1-1,2349475,blender,encoding,1.0,1,1,666,950,284,714.9,537.8,381.28,382.44,29.0,"person wearing a blue shirt and black shorts, with a yellow hat, smiling and leaning over to operate a blender, pedaling.",polygon,,0.072001
Encode-Decode_Experiment-1-1,2349475,blender,encoding,1.0,1,1,982,1124,142,674.7,593.6,359.84,422.12,29.0,"person wearing a blue shirt and black shorts, with a yellow hat, smiling and leaning over to operate a blender, pedaling.",polygon,,0.041843
Encode-Decode_Experiment-1-1,2349475,blender,encoding,1.0,1,1,1158,1366,208,1014.8,598.2,541.23,425.39,25.0,orange liquid in orange blender.,polygon,,0.023961
Encode-Decode_Experiment-1-1,2349475,blender,encoding,1.0,1,1,1426,1884,458,626.9,785.0,334.35,558.22,29.0,"person wearing a blue shirt and black shorts, with a yellow hat, smiling and leaning over to operate a blender, pedaling.",polygon,,0.106169
Encode-Decode_Experiment-1-1,2349475,blender,encoding,1.0,1,1,1982,2208,226,1438.0,577.8,766.93,410.88,7.0,"woman wearing a green shirt and jeans, smiling and holding the blender lid.",polygon,,0.042347
Encode-Decode_Experiment-1-1,2349475,blender,encoding,1.0,1,1,2266,2426,160,1023.0,794.9,545.6,565.26,24.0,base in metal stand of blender.,polygon,,0.02003
Encode-Decode_Experiment-1-1,2349475,blender,encoding,1.0,1,1,2474,2714,240,1550.9,483.0,827.15,343.47,7.0,"woman wearing a green shirt and jeans, smiling and holding the blender lid.",polygon,,0.020718
Encode-Decode_Experiment-1-1,2349475,blender,encoding,1.0,1,1,2756,2952,196,1530.3,322.2,816.16,229.12,7.0,"woman wearing a green shirt and jeans, smiling and holding the blender lid.",polygon,,0.041175
Encode-Decode_Experiment-1-1,2349475,blender,encoding,1.0,1,1,3016,3220,204,1290.0,659.1,688.0,468.69,19.0,shirt in yellow color worn by a person.,polygon,,0.057114
Encode-Decode_Experiment-1-1,2349475,blender,encoding,1.0,1,1,3292,3498,206,631.9,655.1,337.01,465.85,29.0,"person wearing a blue shirt and black shorts, with a yellow hat, smiling and leaning over to operate a blender, pedaling.",polygon,,0.028604
Encode-Decode_Experiment-1-1,2349475,blender,encoding,1.0,1,1,3522,4050,528,673.3,545.1,359.09,387.63,29.0,"person wearing a blue shirt and black shorts, with a yellow hat, smiling and leaning over to operate a blender, pedaling.",polygon,,0.057915
Encode-Decode_Experiment-1-1,2349475,blender,encoding,1.0,1,1,4070,4420,350,686.4,585.3,366.08,416.21,29.0,"person wearing a blue shirt and black shorts, with a yellow hat, smiling and leaning over to operate a blender, pedaling.",polygon,,0.042182
Encode-Decode_Experiment-1-1,2349475,blender,encoding,1.0,1,1,4440,4842,402,675.5,652.2,360.27,463.79,29.0,"person wearing a blue shirt and black shorts, with a yellow hat, smiling and leaning over to operate a blender, pedaling.",polygon,,0.04844
Encode-Decode_Experiment-1-1,2349475,blender,encoding,1.0,1,1,4868,5366,498,685.0,722.3,365.33,513.64,23.0,crank attached to the blender being used by a person.,proximity,33.15,0.222802
Encode-Decode_Experiment-1-1,2345035,football,encoding,1.0,2,2,5374,6152,778,939.1,597.2,500.85,424.68,1.0,"two young soccer players in uniforms, actively engaged in a game",polygon,,0.038279
