SubjectID,StimID,Phase,ViewingNumber,svg_z_all,svg_obs_all,svg_null_mean_all,svg_null_std_all,svg_z_inter,svg_obs_inter,svg_null_mean_inter,svg_null_std_inter,n_transitions,n_relational_all,n_relational_inter,low_n,lcs_enc2_dec,lcs_len_enc2_dec,tau_enc2_dec,tau_p_enc2_dec,n_shared_enc2_dec,lcs_enc1_enc2,lcs_len_enc1_enc2,tau_enc1_enc2,tau_p_enc1_enc2,n_shared_enc1_enc2,lcs_enc1_dec,lcs_len_enc1_dec,tau_enc1_dec,tau_p_enc1_dec,n_shared_enc1_dec,n_fixations,n_aoi,aoi_prop,mean_salience,enc_accuracy,enc_rt_ms,enc_response,enc_correct_key,enc_trial_index,dec_accuracy,dec_rt_ms,dec_response,dec_correct_key,dec_confidence,dec_trial_index
Encode-Decode_Experiment-1-1,2349475,encoding,1.0,0.660825,0.222222,0.140333,0.123919,1.152038,0.222222,0.094333,0.111011,9,2,2,False,,,,,,,,,,,,,,,,15,15,1.0,0.056871,1,19361,1,1,1,1,8781,4,4,4,28
Encode-Decode_Experiment-1-1,2345035,encoding,1.0,0.064335,0.444444,0.431333,0.203794,0.274505,0.333333,0.285111,0.17567,9,4,3,False,,,,,,,,,,,,,,,,12,11,0.9167,0.176256,0,6578,1,2,2,1,5276,4,4,4,23
Encode-Decode_Experiment-1-1,2370664,encoding,1.0,0.544373,0.6,0.4998,0.184065,0.017037,0.2,0.1978,0.129132,10,6,2,False,,,,,,,,,,,,,,,,16,15,0.9375,0.167504,1,3918,4,4,3,1,7548,1,1,4,18
Encode-Decode_Experiment-1-1,2348899,encoding,1.0,0.721284,0.5,0.360125,0.193925,0.394843,0.25,0.187375,0.158607,8,4,2,False,,,,,,,,,,,,,,,,15,15,1.0,0.157496,0,4792,4,1,4,1,16808,4,4,4,10
Encode-Decode_Experiment-1-1,2379478,encoding,1.0,1.130568,0.625,0.396,0.202553,0.238634,0.375,0.333875,0.172335,8,5,3,False,,,,,,,,,,,,,,,,15,12,0.8,0.398868,0,5896,3,4,5,1,3279,2,2,4,2
Encode-Decode_Experiment-1-1,2385851,encoding,1.0,-0.026553,0.166667,0.16975,0.116119,-0.355152,0.083333,0.11975,0.102538,12,2,1,False,,,,,,,,,,,,,,,,16,15,0.9375,0.154689,1,6026,3,3,6,1,10554,1,1,4,7
Encode-Decode_Experiment-1-1,2408717,encoding,1.0,0.480327,0.333333,0.243667,0.186678,0.613887,0.166667,0.092833,0.120272,6,2,1,False,,,,,,,,,,,,,,,,15,11,0.7333,0.212376,0,6643,4,3,7,0,4293,1,4,4,3
Encode-Decode_Experiment-1-1,2350974,encoding,1.0,1.035014,0.6,0.353,0.238644,,0.0,0.0,0.0,5,3,0,False,,,,,,,,,,,,,,,,13,9,0.6923,0.311024,0,5670,2,4,8,0,22796,3,4,1,26
Encode-Decode_Experiment-1-1,2412687,encoding,1.0,0.348117,0.75,0.65475,0.273615,-0.010352,0.5,0.503,0.289812,4,3,2,False,,,,,,,,,,,,,,,,13,10,0.7692,0.147816,1,4090,3,3,9,1,7844,3,3,4,16
Encode-Decode_Experiment-1-1,2347400,encoding,1.0,0.134401,0.166667,0.144333,0.16617,0.105025,0.166667,0.1485,0.172974,6,1,1,False,,,,,,,,,,,,,,,,16,9,0.5625,0.188331,1,2820,1,1,10,0,9824,1,4,3,20
Encode-Decode_Experiment-1-1,2385851,encoding,2.0,-0.937779,0.0,0.107111,0.114218,-0.773705,0.0,0.071667,0.092628,9,0,0,False,,,,,,0.375,3.0,0.666667,0.333333,4.0,,,,,,15,12,0.8,0.218913,1,6026,3,3,6,1,10554,1,1,4,7
Encode-Decode_Experiment-1-1,2371471,encoding,1.0,0.854003,0.8,0.6686,0.153864,0.908458,0.5,0.3399,0.176233,10,8,5,False,,,,,,,,,,,,,,,,13,13,1.0,0.463708,1,7325,3,3,12,1,13810,3,3,4,22
Encode-Decode_Experiment-1-1,2348899,encoding,2.0,0.604145,0.666667,0.527833,0.229801,-0.145895,0.166667,0.195167,0.195346,6,4,1,False,,,,,,0.666667,4.0,0.6,0.233333,5.0,,,,,,12,11,0.9167,0.227189,0,4792,4,1,4,1,16808,4,4,4,10
Encode-Decode_Experiment-1-1,2360001,encoding,1.0,-0.80647,0.1,0.2106,0.137141,-0.824251,0.0,0.0721,0.087473,10,1,0,False,,,,,,,,,,,,,,,,16,16,1.0,0.315584,1,5867,4,4,14,1,7925,2,2,4,9
Encode-Decode_Experiment-1-1,2370664,encoding,2.0,-0.004771,0.5,0.501167,0.244549,-0.199577,0.166667,0.202667,0.180381,6,3,1,False,,,,,,0.4,2.0,0.333333,1.0,3.0,,,,,,15,9,0.6,0.206202,1,3918,4,4,3,1,7548,1,1,4,18
Encode-Decode_Experiment-1-1,2409918,encoding,1.0,-1.267558,0.2,0.5006,0.237149,-1.290992,0.2,0.5022,0.234084,5,1,1,False,,,,,,,,,,,,,,,,14,13,0.9286,0.191986,1,4977,4,4,16,1,5571,1,1,4,13
Encode-Decode_Experiment-1-1,2394020,encoding,1.0,1.45335,0.928571,0.739214,0.13029,1.167629,0.428571,0.269929,0.135868,14,13,6,False,,,,,,,,,,,,,,,,18,16,0.8889,0.254065,1,3208,2,2,17,0,8839,3,1,4,19
Encode-Decode_Experiment-1-1,2347025,encoding,1.0,1.145894,0.642857,0.469929,0.150911,2.506875,0.571429,0.249714,0.128333,14,9,8,False,,,,,,,,,,,,,,,,20,20,1.0,0.106877,1,8297,2,2,18,1,7388,3,3,4,29
Encode-Decode_Experiment-1-1,2374670,encoding,1.0,1.378671,0.615385,0.390538,0.163089,0.736325,0.307692,0.209923,0.13278,13,8,4,False,,,,,,,,,,,,,,,,19,18,0.9474,0.159106,1,3332,3,3,19,1,6319,1,1,4,4
Encode-Decode_Experiment-1-1,2344622,encoding,1.0,-0.073118,0.222222,0.233667,0.15652,0.107234,0.111111,0.099111,0.111905,9,2,1,False,,,,,,,,,,,,,,,,15,15,1.0,0.118057,1,4367,4,4,20,1,12607,3,3,4,17
Encode-Decode_Experiment-1-1,2394020,encoding,2.0,1.244233,0.857143,0.601714,0.20529,1.480388,0.571429,0.278,0.198211,7,6,4,False,,,,,,0.666667,4.0,1.0,0.083333,4.0,,,,,,17,15,0.8824,0.319475,1,3208,2,2,17,0,8839,3,1,4,19
Encode-Decode_Experiment-1-1,2356991,encoding,1.0,-0.186132,0.25,0.278667,0.154013,-0.72766,0.083333,0.177583,0.129525,12,3,1,False,,,,,,,,,,,,,,,,16,15,0.9375,0.148674,1,7042,2,2,22,1,2858,2,2,2,11
Encode-Decode_Experiment-1-1,2386442,encoding,1.0,2.814993,0.888889,0.373222,0.183186,2.63251,0.777778,0.321,0.173514,9,8,7,False,,,,,,,,,,,,,,,,23,23,1.0,0.146506,1,3171,4,4,23,1,3215,1,1,4,1
Encode-Decode_Experiment-1-1,2344622,encoding,2.0,0.74195,0.4,0.2826,0.158232,0.306103,0.1,0.0741,0.084612,10,4,1,False,,,,,,0.714286,5.0,0.866667,0.016667,6.0,,,,,,18,14,0.7778,0.216738,1,4367,4,4,20,1,12607,3,3,4,17
Encode-Decode_Experiment-1-1,2397102,encoding,1.0,2.22571,0.642857,0.311286,0.148973,1.6318,0.428571,0.2225,0.126285,14,9,6,False,,,,,,,,,,,,,,,,17,17,1.0,0.16296,1,4532,3,3,25,1,6904,3,3,4,14
Encode-Decode_Experiment-1-1,2360001,encoding,2.0,1.339286,0.25,0.103,0.10976,,0.0,0.0,0.0,8,2,0,False,,,,,,0.375,3.0,1.0,0.333333,3.0,,,,,,15,12,0.8,0.130285,1,5867,4,4,14,1,7925,2,2,4,9
Encode-Decode_Experiment-1-1,2411268,encoding,1.0,-1.025583,0.285714,0.488714,0.197936,-1.014651,0.285714,0.497143,0.208376,7,2,2,False,,,,,,,,,,,,,,,,16,15,0.9375,0.138496,1,6987,4,4,27,1,8115,4,4,4,27
Encode-Decode_Experiment-1-1,2387122,encoding,1.0,0.858647,0.7,0.538,0.188669,0.09606,0.3,0.2839,0.167603,10,7,3,False,,,,,,,,,,,,,,,,18,14,0.7778,0.080356,1,7698,1,1,28,1,6595,2,2,4,25
Encode-Decode_Experiment-1-1,2383555,encoding,1.0,-0.526916,0.222222,0.323111,0.19147,-0.517916,0.222222,0.317889,0.184715,9,2,2,False,,,,,,,,,,,,,,,,17,14,0.8235,0.207263,1,4899,4,4,29,1,6345,3,3,4,21
Encode-Decode_Experiment-1-1,2345035,encoding,2.0,-0.11138,0.444444,0.466889,0.201513,0.106892,0.333333,0.313778,0.182947,9,4,3,False,,,,,,0.428571,3.0,0.333333,0.469444,6.0,,,,,,17,13,0.7647,0.137243,0,6578,1,2,2,1,5276,4,4,4,23
Encode-Decode_Experiment-1-1,2397102,encoding,2.0,0.977038,0.777778,0.595111,0.18696,0.232157,0.444444,0.399,0.195749,9,7,4,False,,,,,,0.5,3.0,0.666667,0.333333,4.0,,,,,,14,14,1.0,0.071155,1,4532,3,3,25,1,6904,3,3,4,14
Encode-Decode_Experiment-1-1,2385550,encoding,1.0,1.854816,0.333333,0.13625,0.106255,,0.0,0.0,0.0,12,4,0,False,,,,,,,,,,,,,,,,17,17,1.0,0.252397,1,3413,4,4,32,1,7346,4,4,4,8
Encode-Decode_Experiment-1-1,2410309,encoding,1.0,1.651391,0.529412,0.311765,0.131796,1.000122,0.235294,0.137882,0.0974,17,9,4,False,,,,,,,,,,,,,,,,21,21,1.0,0.263424,1,4082,4,4,33,1,8992,2,2,4,30
Encode-Decode_Experiment-1-1,2371471,encoding,2.0,1.177981,0.625,0.40475,0.186972,-0.864404,0.0,0.097375,0.11265,8,5,0,False,,,,,,0.5,2.0,0.333333,1.0,3.0,,,,,,14,14,1.0,0.148159,1,7325,3,3,12,1,13810,3,3,4,22
Encode-Decode_Experiment-1-1,2386442,encoding,2.0,1.32763,0.714286,0.416857,0.22403,1.441173,0.571429,0.283,0.200135,7,5,4,False,,,,,,0.857143,6.0,1.0,0.002778,6.0,,,,,,14,14,1.0,0.172353,1,3171,4,4,23,1,3215,1,1,4,1
Encode-Decode_Experiment-1-1,2362704,encoding,1.0,1.600596,0.384615,0.199923,0.11539,-0.314704,0.076923,0.107462,0.097039,13,5,1,False,,,,,,,,,,,,,,,,15,15,1.0,0.28399,1,3339,4,4,36,1,3480,1,1,4,6
Encode-Decode_Experiment-1-1,2412687,encoding,2.0,,0.0,0.0,0.0,,0.0,0.0,0.0,2,0,0,False,,,,,,0.5,1.0,,,1.0,,,,,,8,4,0.5,0.221762,1,4090,3,3,9,1,7844,3,3,4,16
Encode-Decode_Experiment-1-1,2356991,encoding,2.0,-0.467531,0.285714,0.390143,0.223362,0.134099,0.285714,0.261429,0.181102,7,2,2,False,,,,,,0.666667,4.0,1.0,0.083333,4.0,,,,,,14,11,0.7857,0.109832,1,7042,2,2,22,1,2858,2,2,2,11
Encode-Decode_Experiment-1-1,2411268,encoding,2.0,0.372209,0.5,0.409167,0.244039,0.944425,0.5,0.294333,0.217769,6,3,3,False,,,,,,0.75,3.0,1.0,0.333333,3.0,,,,,,15,13,0.8667,0.187123,1,6987,4,4,27,1,8115,4,4,4,27
Encode-Decode_Experiment-1-1,2385550,encoding,2.0,2.367651,0.666667,0.277889,0.164204,2.811205,0.555556,0.172889,0.136122,9,6,5,False,,,,,,0.571429,4.0,1.0,0.083333,4.0,,,,,,17,17,1.0,0.277708,1,3413,4,4,32,1,7346,4,4,4,8
