SubjectID,StimID,CueText,Phase,TrialIndex,TrialID,FixStart_ms,FixEnd_ms,Duration_ms,GazeX,GazeY,Salience,ImgX,ImgY,ObjectID,ObjectName,AssignmentMethod,ProximityDist_px,SalienceAtFixation
Encode-Decode_Experiment-11-1,2370664,donuts,encoding,1,1,120,306,186,956.3,544.0,0.3867,510.03,386.84,33.0,smiling woman in a red shirt with a donut,polygon,,0.374919
Encode-Decode_Experiment-11-1,2370664,donuts,encoding,1,1,334,560,226,1080.7,486.4,0.1835,576.37,345.88,34.0,donut being held by the woman,polygon,,0.177708
Encode-Decode_Experiment-11-1,2370664,donuts,encoding,1,1,618,826,208,1490.7,579.0,0.091,795.04,411.73,30.0,man in a gray shirt eating a doughnut,polygon,,0.087787
Encode-Decode_Experiment-11-1,2370664,donuts,encoding,1,1,888,1142,254,646.5,626.7,0.1525,344.8,445.65,20.0,man in a blue shirt eating a donut,polygon,,0.147912
Encode-Decode_Experiment-11-1,2370664,donuts,encoding,1,1,1208,1336,128,1203.0,480.7,0.107,641.6,341.83,33.0,smiling woman in a red shirt with a donut,polygon,,0.09867
Encode-Decode_Experiment-11-1,2370664,donuts,encoding,1,1,1364,1452,88,1097.1,488.7,0.1741,585.12,347.52,34.0,donut being held by the woman,polygon,,0.165148
Encode-Decode_Experiment-11-1,2370664,donuts,encoding,1,1,1514,1654,140,1501.5,572.4,0.0814,800.8,407.04,30.0,man in a gray shirt eating a doughnut,polygon,,0.080094
Encode-Decode_Experiment-11-1,2370664,donuts,encoding,1,1,1714,1994,280,1031.6,389.3,0.1348,550.19,276.84,33.0,smiling woman in a red shirt with a donut,polygon,,0.129463
Encode-Decode_Experiment-11-1,2370664,donuts,encoding,1,1,2052,2400,348,689.5,574.9,0.0851,367.73,408.82,20.0,man in a blue shirt eating a donut,polygon,,0.084261
Encode-Decode_Experiment-11-1,2370664,donuts,encoding,1,1,2452,2546,94,1084.9,463.9,0.1233,578.61,329.88,33.0,smiling woman in a red shirt with a donut,polygon,,0.119386
Encode-Decode_Experiment-11-1,2370664,donuts,encoding,1,1,2764,2846,82,875.2,817.6,0.0718,466.77,581.4,32.0,hand of the man on the left holding a donut,polygon,,0.070191
Encode-Decode_Experiment-11-1,2370664,donuts,encoding,1,1,2902,3066,164,1060.4,447.6,0.1202,565.55,318.29,33.0,smiling woman in a red shirt with a donut,polygon,,0.11711
Encode-Decode_Experiment-11-1,2370664,donuts,encoding,1,1,3128,3328,200,1562.0,644.6,0.1095,833.07,458.38,30.0,man in a gray shirt eating a doughnut,polygon,,0.108841
Encode-Decode_Experiment-11-1,2370664,donuts,encoding,1,1,3384,3576,192,1795.9,954.9,0.5572,957.81,679.04,18.0,cat design on a gray shirt,polygon,,0.534847
Encode-Decode_Experiment-11-1,2370664,donuts,encoding,1,1,3634,3856,222,1152.1,506.8,0.2391,614.45,360.39,33.0,smiling woman in a red shirt with a donut,polygon,,0.231987
Encode-Decode_Experiment-11-1,2370664,donuts,encoding,1,1,3884,4048,164,1035.1,459.2,0.145,552.05,326.54,33.0,smiling woman in a red shirt with a donut,polygon,,0.137504
Encode-Decode_Experiment-11-1,2370664,donuts,encoding,1,1,4218,4418,200,1032.9,388.8,0.1326,550.88,276.48,33.0,smiling woman in a red shirt with a donut,polygon,,0.127456
Encode-Decode_Experiment-11-1,2370664,donuts,encoding,1,1,4474,4862,388,1457.6,571.3,0.1126,777.39,406.26,30.0,man in a gray shirt eating a doughnut,polygon,,0.110219
Encode-Decode_Experiment-11-1,2356125,airport,encoding,2,2,5078,5430,352,965.1,529.8,0.3104,514.72,376.75,2.0,plain wall behind the conveyor belt,proximity,40.09,0.309172
Encode-Decode_Experiment-11-1,2356125,airport,encoding,2,2,5478,5588,110,476.5,596.1,0.0582,254.13,423.89,,,none,,0.057126
Encode-Decode_Experiment-11-1,2356125,airport,encoding,2,2,5612,5796,184,458.1,693.9,0.2165,244.32,493.44,2.0,plain wall behind the conveyor belt,polygon,,0.216202
Encode-Decode_Experiment-11-1,2356125,airport,encoding,2,2,5842,6048,206,107.4,671.5,0.313,57.28,477.51,21.0,"bag in black, checked , blue color",polygon,,0.308219
Encode-Decode_Experiment-11-1,2356125,airport,encoding,2,2,6124,6364,240,993.6,701.0,0.0582,529.92,498.49,17.0,woman in uniform interacting with luggage,polygon,,0.055797
Encode-Decode_Experiment-11-1,2356125,airport,encoding,2,2,6410,6652,242,1079.4,463.1,0.5932,575.68,329.32,17.0,woman in uniform interacting with luggage,polygon,,0.604415
Encode-Decode_Experiment-11-1,2356125,airport,encoding,2,2,6710,6926,216,592.0,433.0,0.4034,315.73,307.91,0.0,"man in uniform with hat and tie, standing near the conveyor belt",polygon,,0.402327
Encode-Decode_Experiment-11-1,2356125,airport,encoding,2,2,6970,7082,112,262.2,430.0,0.6835,139.84,305.78,,,none,,0.677805
Encode-Decode_Experiment-11-1,2356125,airport,encoding,2,2,7250,7470,220,974.7,688.6,0.036,519.84,489.67,17.0,woman in uniform interacting with luggage,polygon,,0.032741
Encode-Decode_Experiment-11-1,2356125,airport,encoding,2,2,7524,7802,278,1253.9,655.0,0.1934,668.75,465.78,29.0,"door in plastic covering, part of the conveyor belt system.",polygon,,0.186165
Encode-Decode_Experiment-11-1,2356125,airport,encoding,2,2,7828,8056,228,1343.8,722.2,0.2227,716.69,513.56,4.0,multicolored striped luggage on conveyor belt,polygon,,0.220242
Encode-Decode_Experiment-11-1,2356125,airport,encoding,2,2,8124,8270,146,482.5,740.0,0.2927,257.33,526.22,24.0,blue checked bag on conveyor belt,polygon,,0.285099
Encode-Decode_Experiment-11-1,2356125,airport,encoding,2,2,8314,8450,136,134.5,709.9,0.1283,71.73,504.82,21.0,"bag in black, checked , blue color",polygon,,0.127054
Encode-Decode_Experiment-11-1,2356125,airport,encoding,2,2,8494,8660,166,352.8,452.6,0.392,188.16,321.85,,,none,,0.381713
Encode-Decode_Experiment-11-1,2356125,airport,encoding,2,2,8738,8956,218,1299.0,416.0,0.0337,692.8,295.82,2.0,plain wall behind the conveyor belt,polygon,,0.030272
Encode-Decode_Experiment-11-1,2356125,airport,encoding,2,2,8984,9114,130,1407.7,459.8,0.5891,750.77,326.97,10.0,"woman in black uniform and hat, standing near luggage",polygon,,0.576251
Encode-Decode_Experiment-11-1,2356125,airport,encoding,2,2,9182,9308,126,668.3,436.7,0.157,356.43,310.54,2.0,plain wall behind the conveyor belt,polygon,,0.154386
Encode-Decode_Experiment-11-1,2356125,airport,encoding,2,2,9470,9568,98,554.1,419.8,0.339,295.52,298.52,0.0,"man in uniform with hat and tie, standing near the conveyor belt",polygon,,0.32872
Encode-Decode_Experiment-11-1,2356125,airport,encoding,2,2,9630,9838,208,1079.8,469.2,0.5953,575.89,333.65,17.0,woman in uniform interacting with luggage,polygon,,0.585145
Encode-Decode_Experiment-11-1,2356125,airport,encoding,2,2,9886,10084,198,1443.2,473.6,0.6939,769.71,336.78,10.0,"woman in black uniform and hat, standing near luggage",polygon,,0.679032
Encode-Decode_Experiment-11-1,2344622,cat,encoding,3,3,10156,10464,308,951.2,532.0,0.0618,507.31,378.31,23.0,striped cat's head,polygon,,0.056711
Encode-Decode_Experiment-11-1,2344622,cat,encoding,3,3,10512,10672,160,1357.5,547.7,0.0961,724.0,389.48,12.0,keyboard in black color.,polygon,,0.088026
Encode-Decode_Experiment-11-1,2344622,cat,encoding,3,3,10732,10946,214,773.7,450.2,0.2421,412.64,320.14,23.0,striped cat's head,polygon,,0.224777
Encode-Decode_Experiment-11-1,2344622,cat,encoding,3,3,10996,11322,326,1095.2,251.6,0.2418,584.11,178.92,,,none,,0.225524
Encode-Decode_Experiment-11-1,2344622,cat,encoding,3,3,11370,11528,158,1295.7,491.9,0.6625,691.04,349.8,6.0,keyboard in black color,polygon,,0.619854
Encode-Decode_Experiment-11-1,2344622,cat,encoding,3,3,11576,11914,338,1125.0,283.7,0.359,600.0,201.74,,,none,,0.334558
Encode-Decode_Experiment-11-1,2344622,cat,encoding,3,3,11974,12244,270,1555.3,292.8,0.0799,829.49,208.21,5.0,black speaker on desk,polygon,,0.066363
Encode-Decode_Experiment-11-1,2344622,cat,encoding,3,3,12264,12392,128,1506.5,249.0,0.6342,803.47,177.07,5.0,black speaker on desk,polygon,,0.589368
Encode-Decode_Experiment-11-1,2344622,cat,encoding,3,3,12536,12878,342,688.7,599.6,0.1808,367.31,426.38,23.0,striped cat's head,polygon,,0.171487
Encode-Decode_Experiment-11-1,2344622,cat,encoding,3,3,13060,13264,204,1427.3,589.9,0.3759,761.23,419.48,28.0,"hand in person's hand, typing on a keyboard.",polygon,,0.351631
Encode-Decode_Experiment-11-1,2344622,cat,encoding,3,3,13302,13544,242,1198.7,571.0,0.3646,639.31,406.04,6.0,keyboard in black color,polygon,,0.339265
Encode-Decode_Experiment-11-1,2344622,cat,encoding,3,3,13594,13922,328,1435.3,570.6,0.3312,765.49,405.76,6.0,keyboard in black color,polygon,,0.311552
Encode-Decode_Experiment-11-1,2344622,cat,encoding,3,3,13958,14172,214,1625.1,576.9,0.3588,866.72,410.24,28.0,"hand in person's hand, typing on a keyboard.",polygon,,0.336735
Encode-Decode_Experiment-11-1,2344622,cat,encoding,3,3,14236,14422,186,1108.6,290.8,0.4333,591.25,206.79,,,none,,0.404847
Encode-Decode_Experiment-11-1,2344622,cat,encoding,3,3,14446,14664,218,1016.2,233.0,0.1075,541.97,165.69,26.0,brown and black cat laying head down,polygon,,0.100478
Encode-Decode_Experiment-11-1,2344622,cat,encoding,3,3,14728,15116,388,1508.1,614.5,0.3365,804.32,436.98,28.0,"hand in person's hand, typing on a keyboard.",polygon,,0.317313
Encode-Decode_Experiment-11-1,2344622,cat,encoding,3,3,15160,15226,66,1752.6,794.8,0.297,934.72,565.19,13.0,keyboard in black color,polygon,,0.286928
Encode-Decode_Experiment-11-1,2369373,chef,encoding,4,4,15234,15756,522,955.8,522.5,0.2664,509.76,371.56,7.0,oven in pizza shop,polygon,,0.249349
Encode-Decode_Experiment-11-1,2369373,chef,encoding,4,4,15814,16154,340,385.7,571.0,0.104,205.71,406.04,27.0,man's head with white hat,polygon,,0.09946
Encode-Decode_Experiment-11-1,2369373,chef,encoding,4,4,16216,16528,312,1078.5,564.3,0.6231,575.2,401.28,4.0,oven with fire inside,polygon,,0.579612
Encode-Decode_Experiment-11-1,2369373,chef,encoding,4,4,16554,16818,264,1195.2,579.8,0.4439,637.44,412.3,12.0,fire inside the oven,polygon,,0.428275
Encode-Decode_Experiment-11-1,2369373,chef,encoding,4,4,16840,17066,226,1190.4,635.1,0.201,634.88,451.63,1.0,pizza being cooked inside the oven,polygon,,0.18862
Encode-Decode_Experiment-11-1,2369373,chef,encoding,4,4,17094,17222,128,1341.8,652.4,0.1006,715.63,463.93,2.0,large gray metal oven,polygon,,0.093969
Encode-Decode_Experiment-11-1,2369373,chef,encoding,4,4,17284,17462,178,853.3,241.6,0.091,455.09,171.8,13.0,oven with face shaped like a man's head,polygon,,0.087445
Encode-Decode_Experiment-11-1,2369373,chef,encoding,4,4,17612,17724,112,909.3,174.4,0.0477,484.96,124.02,13.0,oven with face shaped like a man's head,polygon,,0.045976
Encode-Decode_Experiment-11-1,2369373,chef,encoding,4,4,17792,18060,268,962.6,681.5,0.352,513.39,484.62,23.0,pan used for cooking,polygon,,0.336604
Encode-Decode_Experiment-11-1,2369373,chef,encoding,4,4,18118,18324,206,348.6,615.0,0.0444,185.92,437.33,27.0,man's head with white hat,polygon,,0.037851
Encode-Decode_Experiment-11-1,2369373,chef,encoding,4,4,18354,18704,350,423.8,755.7,0.1091,226.03,537.39,17.0,"man wearing white hat and apron, holding a spatula",polygon,,0.101953
Encode-Decode_Experiment-11-1,2369373,chef,encoding,4,4,18724,19034,310,345.3,755.7,0.28,184.16,537.39,25.0,"man wearing white chef's hat and shirt, holding a spatula",polygon,,0.262582
Encode-Decode_Experiment-11-1,2369373,chef,encoding,4,4,19102,19336,234,1035.3,617.6,0.2943,552.16,439.18,4.0,oven with fire inside,polygon,,0.279187
Encode-Decode_Experiment-11-1,2369373,chef,encoding,4,4,19474,19604,130,1187.1,551.1,0.4937,633.12,391.89,12.0,fire inside the oven,polygon,,0.475646
Encode-Decode_Experiment-11-1,2369373,chef,encoding,4,4,19664,19862,198,847.1,848.2,0.0793,451.79,603.16,0.0,stainless steel oven with silver and black color,polygon,,0.075806
Encode-Decode_Experiment-11-1,2369373,chef,encoding,4,4,19890,20122,232,908.1,744.9,0.6056,484.32,529.71,16.0,white rag held by chef,polygon,,0.583031
Encode-Decode_Experiment-11-1,2360001,clock,encoding,5,5,20318,20606,288,952.6,518.8,0.0317,508.05,368.92,12.0,clothing in winter worn by a man.,polygon,,0.03064
Encode-Decode_Experiment-11-1,2360001,clock,encoding,5,5,20642,20796,154,1032.6,394.3,0.6101,550.72,280.39,13.0,clock in large white hands.,polygon,,0.595232
Encode-Decode_Experiment-11-1,2360001,clock,encoding,5,5,20820,21074,254,979.2,323.1,0.301,522.24,229.76,13.0,clock in large white hands.,polygon,,0.29153
Encode-Decode_Experiment-11-1,2360001,clock,encoding,5,5,21086,21294,208,1018.4,327.9,0.2266,543.15,233.17,13.0,clock in large white hands.,polygon,,0.217429
