SubjectID,StimID,Phase,svg_z_all,svg_obs_all,svg_null_mean_all,svg_null_std_all,svg_z_inter,svg_obs_inter,svg_null_mean_inter,svg_null_std_inter,n_transitions,n_relational_all,n_relational_inter,low_n,lcs_enc_dec,lcs_len_enc_dec,tau_enc_dec,tau_p_enc_dec,n_shared_enc_dec,n_fixations,n_aoi,aoi_prop,mean_salience,enc_q1_accuracy,enc_q1_rt_ms,enc_q1_trial_index,enc_q2_accuracy,enc_q2_rt_ms,enc_q2_trial_index,dec_rt_ms,dec_trial_index,writing_length
Encode-Decode_Experiment-6-1,2362704,encoding,-1.309045,0.05,0.171,0.092434,-1.153218,0.0,0.07415,0.064298,20,1,0,False,,,,,,29,29,1.0,0.190956,1.0,3923.0,1.0,1.0,3876.0,54.0,,,
Encode-Decode_Experiment-6-1,2371471,encoding,-0.125714,0.318182,0.332,0.109917,-0.553138,0.136364,0.188909,0.094995,22,7,3,False,,,,,,32,32,1.0,0.45594,1.0,8493.0,2.0,1.0,10256.0,4.0,,,
Encode-Decode_Experiment-6-1,2360001,encoding,-0.16576,0.16,0.17324,0.079874,1.026467,0.12,0.06352,0.055024,25,4,3,False,,,,,,32,31,0.9688,0.271626,1.0,8018.0,3.0,1.0,6842.0,36.0,,,
Encode-Decode_Experiment-6-1,2383555,encoding,0.934048,0.185185,0.120889,0.068836,1.313543,0.148148,0.074481,0.056082,27,5,4,False,,,,,,34,33,0.9706,0.20003,1.0,5774.0,5.0,1.0,4611.0,50.0,,,
Encode-Decode_Experiment-6-1,2347025,encoding,1.826539,0.7,0.46505,0.128631,0.107868,0.3,0.288,0.111247,20,14,6,False,,,,,,33,33,1.0,0.121724,1.0,2759.0,6.0,1.0,4820.0,56.0,,,
Encode-Decode_Experiment-6-1,2367132,encoding,5.049538,0.888889,0.267,0.123158,4.650896,0.722222,0.198944,0.112511,18,16,13,False,,,,,,33,32,0.9697,0.115855,1.0,2984.0,7.0,1.0,4237.0,27.0,,,
Encode-Decode_Experiment-6-1,2349475,encoding,3.096367,0.3125,0.082,0.074442,3.039074,0.25,0.056,0.063835,16,5,4,False,,,,,,34,29,0.8529,0.08036,1.0,10831.0,8.0,1.0,6520.0,40.0,,,
Encode-Decode_Experiment-6-1,2344622,encoding,0.912294,0.5,0.383875,0.127289,0.033181,0.25,0.246063,0.118668,16,8,4,False,,,,,,37,31,0.8378,0.173965,1.0,3798.0,9.0,1.0,5496.0,55.0,,,
Encode-Decode_Experiment-6-1,2374670,encoding,1.396636,0.521739,0.360957,0.115121,2.228074,0.521739,0.284652,0.106409,23,12,12,False,,,,,,32,31,0.9688,0.198687,1.0,5062.0,10.0,0.0,11085.0,30.0,,,
Encode-Decode_Experiment-6-1,2370664,encoding,3.571791,0.722222,0.289778,0.121072,1.506296,0.277778,0.143944,0.088849,18,13,5,False,,,,,,35,35,1.0,0.163746,1.0,5787.0,11.0,1.0,4142.0,34.0,,,
