SubjectID,StimID,Phase,svg_z_all,svg_obs_all,svg_null_mean_all,svg_null_std_all,svg_z_inter,svg_obs_inter,svg_null_mean_inter,svg_null_std_inter,n_transitions,n_relational_all,n_relational_inter,low_n,lcs_enc_dec,lcs_len_enc_dec,tau_enc_dec,tau_p_enc_dec,n_shared_enc_dec,n_fixations,n_aoi,aoi_prop,mean_salience,enc_accuracy,enc_rt_ms,enc_response,enc_correct_key,enc_trial_index,q1_accuracy,q1_rt_ms,q1_confidence,q1_present_order,q2_accuracy,q2_rt_ms,q2_confidence,q2_present_order,dec_total_correct,dec_trial_index
Encode-Decode_Experiment-9-1,2386442,encoding,2.260123,0.818182,0.424364,0.174246,2.393264,0.727273,0.331091,0.16554,11,9,8,False,,,,,,20,20,1.0,0.136838,1.0,9789.0,1.0,1.0,1.0,,,,,,,,,,
Encode-Decode_Experiment-9-1,2374670,encoding,-0.319757,0.333333,0.39,0.177218,-0.288866,0.333333,0.383444,0.173476,9,3,3,False,,,,,,16,16,1.0,0.240013,1.0,6341.0,1.0,1.0,2.0,,,,,,,,,,
Encode-Decode_Experiment-9-1,2367132,encoding,1.12761,0.333333,0.18175,0.134429,-0.227948,0.083333,0.106833,0.103094,12,4,1,False,,,,,,20,17,0.85,0.117278,1.0,6727.0,3.0,3.0,3.0,,,,,,,,,,
Encode-Decode_Experiment-9-1,2349475,encoding,-0.679296,0.0,0.046455,0.068386,-0.664085,0.0,0.046909,0.070637,11,0,0,False,,,,,,19,16,0.8421,0.071625,1.0,9001.0,4.0,4.0,4.0,,,,,,,,,,
Encode-Decode_Experiment-9-1,2356991,encoding,-0.231721,0.071429,0.092643,0.091551,-0.863392,0.0,0.0675,0.07818,14,1,0,False,,,,,,17,17,1.0,0.163255,1.0,8345.0,2.0,2.0,5.0,,,,,,,,,,
Encode-Decode_Experiment-9-1,2408717,encoding,0.712751,0.181818,0.109818,0.101017,0.783985,0.181818,0.104545,0.098564,11,2,2,False,,,,,,17,15,0.8824,0.334709,1.0,5651.0,4.0,4.0,6.0,,,,,,,,,,
Encode-Decode_Experiment-9-1,2411268,encoding,2.634627,0.7,0.2875,0.156569,2.606391,0.6,0.2178,0.14664,10,7,6,False,,,,,,20,16,0.8,0.210564,1.0,7049.0,4.0,4.0,7.0,,,,,,,,,,
Encode-Decode_Experiment-9-1,2362704,encoding,-0.650335,0.083333,0.155583,0.111097,-0.486519,0.0,0.023,0.047275,12,1,0,False,,,,,,16,16,1.0,0.165409,1.0,3366.0,1.0,1.0,8.0,,,,,,,,,,
Encode-Decode_Experiment-9-1,2347025,encoding,-1.222773,0.333333,0.556,0.1821,-0.92152,0.111111,0.276333,0.179293,9,3,1,False,,,,,,15,14,0.9333,0.137271,1.0,7136.0,3.0,3.0,9.0,,,,,,,,,,
Encode-Decode_Experiment-9-1,2394020,encoding,-0.132644,0.4,0.4246,0.185458,-1.231019,0.0,0.1478,0.120063,10,4,0,False,,,,,,19,15,0.7895,0.238577,1.0,17704.0,1.0,1.0,10.0,,,,,,,,,,
Encode-Decode_Experiment-9-1,2344622,encoding,0.388202,0.181818,0.140727,0.105849,0.96589,0.090909,0.034455,0.058448,11,2,1,False,,,,,,18,16,0.8889,0.238571,1.0,6748.0,3.0,3.0,11.0,,,,,,,,,,
Encode-Decode_Experiment-9-1,2360001,encoding,0.517043,0.214286,0.161357,0.102368,1.263701,0.142857,0.058429,0.066811,14,3,2,False,,,,,,18,17,0.9444,0.302893,1.0,7790.0,2.0,2.0,12.0,,,,,,,,,,
Encode-Decode_Experiment-9-1,2345035,encoding,0.022968,0.375,0.371812,0.138778,0.578875,0.3125,0.239375,0.126323,16,6,5,False,,,,,,21,17,0.8095,0.243134,1.0,7181.0,4.0,4.0,13.0,,,,,,,,,,
Encode-Decode_Experiment-9-1,2371471,encoding,2.347778,0.692308,0.332231,0.153369,0.425804,0.153846,0.112154,0.097914,13,9,2,False,,,,,,17,17,1.0,0.422829,1.0,7629.0,3.0,3.0,14.0,,,,,,,,,,
Encode-Decode_Experiment-9-1,2385851,encoding,-0.928031,0.0,0.072083,0.077673,-0.791234,0.0,0.057417,0.072566,12,0,0,False,,,,,,16,14,0.875,0.249748,1.0,4420.0,1.0,1.0,15.0,,,,,,,,,,
Encode-Decode_Experiment-9-1,2409918,encoding,1.861663,0.7,0.3883,0.167431,1.798584,0.6,0.3103,0.161071,10,7,6,False,,,,,,20,20,1.0,0.133005,1.0,6346.0,1.0,1.0,16.0,,,,,,,,,,
Encode-Decode_Experiment-9-1,2379478,encoding,2.497346,0.666667,0.286333,0.152295,1.913545,0.416667,0.179417,0.123985,12,8,5,False,,,,,,16,16,1.0,0.35044,1.0,4900.0,2.0,2.0,17.0,,,,,,,,,,
Encode-Decode_Experiment-9-1,2410309,encoding,1.300937,0.333333,0.16775,0.12728,1.29499,0.25,0.109,0.108881,12,4,3,False,,,,,,18,18,1.0,0.276349,1.0,3623.0,2.0,2.0,18.0,,,,,,,,,,
Encode-Decode_Experiment-9-1,2370664,encoding,1.645304,0.545455,0.283273,0.159352,0.375811,0.181818,0.142364,0.104985,11,6,2,False,,,,,,19,19,1.0,0.146349,1.0,3854.0,1.0,1.0,19.0,,,,,,,,,,
Encode-Decode_Experiment-9-1,150472,encoding,0.168536,0.363636,0.336,0.163979,0.463396,0.363636,0.287182,0.164987,11,4,4,False,,,,,,15,15,1.0,0.087503,1.0,7812.0,3.0,3.0,20.0,,,,,,,,,,
Encode-Decode_Experiment-9-1,2369373,encoding,-0.327409,0.266667,0.313,0.141515,-0.075526,0.066667,0.0724,0.075912,15,4,1,False,,,,,,19,19,1.0,0.255517,1.0,6835.0,2.0,2.0,21.0,,,,,,,,,,
Encode-Decode_Experiment-9-1,2347400,encoding,1.493169,0.5,0.283333,0.145105,1.401549,0.5,0.28175,0.155721,12,6,6,False,,,,,,21,19,0.9048,0.187196,0.0,15825.0,3.0,4.0,22.0,,,,,,,,,,
Encode-Decode_Experiment-9-1,2383555,encoding,0.256013,0.25,0.216083,0.13248,0.320136,0.25,0.20725,0.133537,12,3,3,False,,,,,,16,13,0.8125,0.117487,1.0,6496.0,3.0,3.0,23.0,,,,,,,,,,
Encode-Decode_Experiment-9-1,2356125,encoding,0.884917,0.230769,0.137077,0.105877,-1.039888,0.0,0.083923,0.080704,13,3,0,False,,,,,,19,16,0.8421,0.202336,1.0,7555.0,3.0,3.0,24.0,,,,,,,,,,
Encode-Decode_Experiment-9-1,2387122,encoding,2.697702,0.636364,0.242636,0.145949,0.847875,0.181818,0.097273,0.099714,11,7,2,False,,,,,,15,13,0.8667,0.128814,1.0,3748.0,2.0,2.0,25.0,,,,,,,,,,
Encode-Decode_Experiment-9-1,2412687,encoding,1.58202,0.4,0.2037,0.124082,1.40599,0.2,0.0701,0.09239,10,4,2,False,,,,,,19,17,0.8947,0.178907,1.0,11798.0,3.0,3.0,26.0,,,,,,,,,,
Encode-Decode_Experiment-9-1,2385550,encoding,1.313707,0.384615,0.220846,0.124662,1.491757,0.307692,0.143692,0.109937,13,5,4,False,,,,,,18,17,0.9444,0.187254,0.0,5341.0,3.0,4.0,27.0,,,,,,,,,,
Encode-Decode_Experiment-9-1,2348899,encoding,3.595475,0.909091,0.338727,0.158634,2.957997,0.727273,0.281727,0.150624,11,10,8,False,,,,,,20,20,1.0,0.186649,1.0,6927.0,4.0,4.0,28.0,,,,,,,,,,
Encode-Decode_Experiment-9-1,2397102,encoding,0.650778,0.333333,0.228222,0.161516,0.57272,0.222222,0.145111,0.13464,9,3,2,False,,,,,,15,14,0.9333,0.105601,1.0,5449.0,3.0,3.0,29.0,,,,,,,,,,
Encode-Decode_Experiment-9-1,2350974,encoding,1.649295,0.7,0.3937,0.185716,1.694963,0.6,0.2997,0.177172,10,7,6,False,,,,,,15,15,1.0,0.319518,1.0,7005.0,4.0,4.0,30.0,,,,,,,,,,
Encode-Decode_Experiment-9-1,2360001,decoding,6.098102,0.6875,0.134625,0.090663,9.576365,0.6875,0.062625,0.065252,16,11,11,False,0.5,3.0,0.0,1.0,5.0,20,20,1.0,0.152721,,,,,,1.0,16357.0,2.0,2.0,1.0,2846.0,4.0,1.0,2.0,1.0
Encode-Decode_Experiment-9-1,2348899,decoding,,1.0,1.0,0.0,,1.0,1.0,0.0,4,4,4,False,1.0,2.0,1.0,1.0,2.0,9,9,1.0,0.201179,,,,,,1.0,3224.0,4.0,1.0,1.0,10180.0,4.0,2.0,2.0,2.0
Encode-Decode_Experiment-9-1,2379478,decoding,1.076901,0.666667,0.335333,0.307673,,0.0,0.0,0.0,3,2,0,False,0.333333,1.0,,,1.0,8,5,0.625,0.297391,,,,,,0.0,8780.0,1.0,2.0,1.0,3623.0,2.0,1.0,1.0,3.0
Encode-Decode_Experiment-9-1,150472,decoding,-1.098982,0.090909,0.269909,0.162878,-0.778945,0.090909,0.200182,0.140283,11,1,1,False,0.333333,2.0,1.0,1.0,2.0,16,15,0.9375,0.151316,,,,,,1.0,2008.0,4.0,1.0,1.0,9595.0,3.0,2.0,2.0,4.0
Encode-Decode_Experiment-9-1,2386442,decoding,,0.0,0.0,0.0,,0.0,0.0,0.0,4,0,0,False,1.0,2.0,1.0,1.0,2.0,15,15,1.0,0.096814,,,,,,1.0,3297.0,4.0,1.0,0.0,10452.0,1.0,2.0,1.0,5.0
Encode-Decode_Experiment-9-1,2350974,decoding,-0.454891,0.571429,0.665143,0.206015,-0.45861,0.571429,0.661429,0.196245,7,4,4,False,0.666667,2.0,1.0,1.0,2.0,14,14,1.0,0.094919,,,,,,1.0,2314.0,4.0,1.0,1.0,7250.0,2.0,2.0,2.0,6.0
Encode-Decode_Experiment-9-1,2397102,decoding,,1.0,1.0,0.0,,0.0,0.0,0.0,2,2,0,False,0.5,1.0,,,1.0,20,20,1.0,0.075892,,,,,,1.0,1989.0,4.0,2.0,0.0,6833.0,1.0,1.0,1.0,7.0
Encode-Decode_Experiment-9-1,2349475,decoding,,0.0,0.0,0.0,,0.0,0.0,0.0,4,0,0,False,0.333333,1.0,-1.0,1.0,2.0,12,12,1.0,0.052731,,,,,,1.0,4201.0,4.0,2.0,1.0,2685.0,4.0,1.0,2.0,8.0
Encode-Decode_Experiment-9-1,2345035,decoding,0.263346,0.375,0.32375,0.194611,0.183851,0.375,0.339875,0.191051,8,3,3,False,1.0,3.0,1.0,0.333333,3.0,14,14,1.0,0.186172,,,,,,1.0,2718.0,4.0,2.0,1.0,6433.0,4.0,1.0,2.0,9.0
Encode-Decode_Experiment-9-1,2383555,decoding,0.73872,0.833333,0.6695,0.22178,0.032229,0.333333,0.326333,0.217194,6,5,2,False,0.5,2.0,-0.333333,1.0,3.0,12,12,1.0,0.212096,,,,,,1.0,3470.0,4.0,1.0,1.0,3040.0,4.0,2.0,2.0,10.0
Encode-Decode_Experiment-9-1,2371471,decoding,,1.0,1.0,0.0,,0.0,0.0,0.0,1,1,0,True,1.0,2.0,1.0,1.0,2.0,10,10,1.0,0.126362,,,,,,0.0,5767.0,4.0,1.0,1.0,4576.0,3.0,2.0,1.0,11.0
Encode-Decode_Experiment-9-1,2410309,decoding,0.115568,0.363636,0.344364,0.166764,0.788432,0.272727,0.172545,0.127065,11,4,3,False,0.5,2.0,1.0,1.0,2.0,18,18,1.0,0.133499,,,,,,1.0,5280.0,3.0,2.0,1.0,5424.0,4.0,1.0,2.0,12.0
Encode-Decode_Experiment-9-1,2374670,decoding,,1.0,1.0,0.0,,1.0,1.0,0.0,3,3,3,False,1.0,2.0,1.0,1.0,2.0,16,16,1.0,0.249228,,,,,,1.0,10285.0,3.0,1.0,1.0,6475.0,4.0,2.0,2.0,13.0
Encode-Decode_Experiment-9-1,2369373,decoding,-0.350134,0.428571,0.497,0.195436,,0.0,0.0,0.0,7,3,0,False,0.5,2.0,1.0,1.0,2.0,13,13,1.0,0.201701,,,,,,1.0,3536.0,4.0,1.0,1.0,2705.0,4.0,2.0,2.0,14.0
Encode-Decode_Experiment-9-1,2394020,decoding,0.864821,0.818182,0.671455,0.169662,-1.89399,0.0,0.328545,0.173467,11,9,0,False,0.666667,2.0,1.0,1.0,2.0,18,18,1.0,0.315087,,,,,,1.0,5579.0,4.0,1.0,1.0,4191.0,4.0,2.0,2.0,15.0
Encode-Decode_Experiment-9-1,2385550,decoding,-0.909063,0.142857,0.331286,0.207278,-0.974409,0.142857,0.344286,0.206719,7,1,1,False,0.333333,1.0,,,1.0,12,12,1.0,0.567382,,,,,,1.0,2648.0,4.0,1.0,1.0,5727.0,4.0,2.0,2.0,16.0
Encode-Decode_Experiment-9-1,2347025,decoding,,1.0,1.0,0.0,,0.0,0.0,0.0,2,2,0,False,1.0,2.0,1.0,1.0,2.0,12,12,1.0,0.074993,,,,,,0.0,3720.0,4.0,1.0,1.0,5525.0,4.0,2.0,1.0,17.0
Encode-Decode_Experiment-9-1,2409918,decoding,-0.028562,0.666667,0.671778,0.17895,0.019796,0.333333,0.329778,0.179608,9,6,3,False,0.333333,1.0,,,1.0,15,15,1.0,0.083155,,,,,,0.0,10326.0,2.0,2.0,1.0,4032.0,4.0,1.0,1.0,18.0
Encode-Decode_Experiment-9-1,2385851,decoding,0.450203,0.111111,0.069556,0.092304,,0.0,0.0,0.0,9,1,0,False,0.333333,2.0,1.0,1.0,2.0,17,15,0.8824,0.11911,,,,,,1.0,16295.0,4.0,2.0,0.0,19901.0,2.0,1.0,1.0,19.0
