comparison,level,category,metric,value
AI-1 vs AI-2,node,overall,cohens_kappa,0.9265106483457334
AI-1 vs AI-2,node,overall,pct_agreement,0.9736563410113847
AI-1 vs Human,category,overall,pearson_r,0.8820622900507956
AI-1 vs Human,category,overall,icc_2_1,0.7494953804749167
AI-1 vs Human,category,overall,mae,2.369158878504673
AI-1 vs Human,category,object_identity,pearson_r,0.7125364145458777
AI-1 vs Human,category,object_identity,icc_2_1,0.6380104829728324
AI-1 vs Human,category,object_identity,mae,1.014018691588785
AI-1 vs Human,category,object_attribute,pearson_r,0.6774398541602853
AI-1 vs Human,category,object_attribute,icc_2_1,0.4812595232478817
AI-1 vs Human,category,object_attribute,mae,1.4018691588785046
AI-1 vs Human,category,action_relation,pearson_r,0.7298890033301458
AI-1 vs Human,category,action_relation,icc_2_1,0.6775226229962903
AI-1 vs Human,category,action_relation,mae,0.397196261682243
AI-1 vs Human,category,spatial_relation,pearson_r,0.7758033726961865
AI-1 vs Human,category,spatial_relation,icc_2_1,0.7522144159163149
AI-1 vs Human,category,spatial_relation,mae,0.4719626168224299
AI-1 vs Human,category,scene_gist,pearson_r,0.5339189014315614
AI-1 vs Human,category,scene_gist,icc_2_1,0.4549380247900836
AI-1 vs Human,category,scene_gist,mae,0.2336448598130841
AI-2 vs Human,category,overall,pearson_r,0.8717527949696647
AI-2 vs Human,category,overall,icc_2_1,0.7686371068577474
AI-2 vs Human,category,overall,mae,2.130841121495327
AI-2 vs Human,category,object_identity,pearson_r,0.7203988164239037
AI-2 vs Human,category,object_identity,icc_2_1,0.6012408719705744
AI-2 vs Human,category,object_identity,mae,1.1401869158878504
AI-2 vs Human,category,object_attribute,pearson_r,0.681434167631601
AI-2 vs Human,category,object_attribute,icc_2_1,0.6032085858866704
AI-2 vs Human,category,object_attribute,mae,0.9065420560747663
AI-2 vs Human,category,action_relation,pearson_r,0.7400103152327893
AI-2 vs Human,category,action_relation,icc_2_1,0.6661701772911688
AI-2 vs Human,category,action_relation,mae,0.43457943925233644
AI-2 vs Human,category,spatial_relation,pearson_r,0.7682360276271762
AI-2 vs Human,category,spatial_relation,icc_2_1,0.7416686276994372
AI-2 vs Human,category,spatial_relation,mae,0.48598130841121495
AI-2 vs Human,category,scene_gist,pearson_r,0.5402010506362119
AI-2 vs Human,category,scene_gist,icc_2_1,0.46981394760156914
AI-2 vs Human,category,scene_gist,mae,0.2383177570093458
