SubjectID,StimID,n_object_identity_recalled,n_object_identity_total,n_object_attribute_recalled,n_object_attribute_total,n_action_relation_recalled,n_action_relation_total,n_spatial_relation_recalled,n_spatial_relation_total,n_scene_gist_recalled,n_scene_gist_total,n_literal_recalled,n_literal_total,n_latent_recalled,n_latent_total,n_speculative_recalled,n_speculative_total,n_object_identity_literal_recalled,n_object_identity_literal_total,n_object_identity_latent_recalled,n_object_identity_latent_total,n_object_identity_speculative_recalled,n_object_identity_speculative_total,n_object_attribute_literal_recalled,n_object_attribute_literal_total,n_object_attribute_latent_recalled,n_object_attribute_latent_total,n_object_attribute_speculative_recalled,n_object_attribute_speculative_total,n_action_relation_literal_recalled,n_action_relation_literal_total,n_action_relation_latent_recalled,n_action_relation_latent_total,n_action_relation_speculative_recalled,n_action_relation_speculative_total,n_spatial_relation_literal_recalled,n_spatial_relation_literal_total,n_spatial_relation_latent_recalled,n_spatial_relation_latent_total,n_spatial_relation_speculative_recalled,n_spatial_relation_speculative_total,n_scene_gist_literal_recalled,n_scene_gist_literal_total,n_scene_gist_latent_recalled,n_scene_gist_latent_total,n_scene_gist_speculative_recalled,n_scene_gist_speculative_total,n_correct_nodes_recalled,n_correct_nodes_total,n_total_recalled,n_total_nodes
Encode-Decode_Experiment-1-1,150472,4,8,1,7,1,6,1,1,1,4,8,24,0,2,0,0,4,7,0,1,0,0,1,7,0,0,0,0,1,6,0,0,0,0,1,1,0,0,0,0,1,3,0,1,0,0,8,26,8,47
Encode-Decode_Experiment-1-1,2344622,3,11,1,5,1,2,1,5,0,0,6,20,0,3,0,0,3,9,0,2,0,0,1,4,0,1,0,0,1,2,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,6,23,6,29
Encode-Decode_Experiment-1-1,2345035,3,18,2,17,1,3,0,8,0,3,6,41,0,8,0,0,3,15,0,3,0,0,2,13,0,4,0,0,1,3,0,0,0,0,0,8,0,0,0,0,0,2,0,1,0,0,6,49,6,52
Encode-Decode_Experiment-1-1,2347025,4,15,0,13,2,5,1,2,0,0,6,31,1,4,0,0,4,13,0,2,0,0,0,12,0,1,0,0,1,4,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,7,35,7,38
Encode-Decode_Experiment-1-1,2347400,3,13,2,9,2,5,2,6,0,2,8,32,1,3,0,0,3,13,0,0,0,0,2,8,0,1,0,0,1,4,1,1,0,0,2,6,0,0,0,0,0,1,0,1,0,0,9,35,9,41
Encode-Decode_Experiment-1-1,2348899,5,9,4,12,1,8,3,4,0,0,13,31,0,2,0,0,5,9,0,0,0,0,4,12,0,0,0,0,1,6,0,2,0,0,3,4,0,0,0,0,0,0,0,0,0,0,13,33,13,37
Encode-Decode_Experiment-1-1,2349475,6,13,0,6,2,8,3,6,0,1,11,30,0,4,0,0,6,11,0,2,0,0,0,6,0,0,0,0,2,6,0,2,0,0,3,6,0,0,0,0,0,1,0,0,0,0,11,34,11,40
Encode-Decode_Experiment-1-1,2350974,3,15,2,8,1,3,1,3,0,0,7,26,0,3,0,0,3,12,0,3,0,0,2,8,0,0,0,0,1,3,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,7,29,7,38
Encode-Decode_Experiment-1-1,2356125,5,11,4,12,2,8,2,6,1,1,13,33,1,5,0,0,5,8,0,3,0,0,4,12,0,0,0,0,2,7,0,1,0,0,2,6,0,0,0,0,0,0,1,1,0,0,14,38,14,42
Encode-Decode_Experiment-1-1,2356991,2,11,2,6,3,10,3,7,2,4,9,32,3,6,0,0,1,9,1,2,0,0,2,6,0,0,0,0,3,9,0,1,0,0,3,7,0,0,0,0,0,1,2,3,0,0,12,38,12,42
Encode-Decode_Experiment-1-1,2360001,3,9,1,9,1,4,1,4,0,1,6,26,0,1,0,0,3,8,0,1,0,0,1,9,0,0,0,0,1,4,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,6,27,6,29
Encode-Decode_Experiment-1-1,2362704,2,4,3,6,1,7,0,5,0,0,6,22,0,0,0,0,2,4,0,0,0,0,3,6,0,0,0,0,1,7,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,6,22,6,22
Encode-Decode_Experiment-1-1,2367132,5,10,3,8,2,5,1,4,0,1,11,26,0,2,0,0,5,10,0,0,0,0,3,8,0,0,0,0,2,4,0,1,0,0,1,4,0,0,0,0,0,0,0,1,0,0,11,28,11,33
Encode-Decode_Experiment-1-1,2369373,0,21,0,4,0,2,0,4,0,0,0,27,0,4,0,0,0,17,0,4,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,31,0,33
Encode-Decode_Experiment-1-1,2370664,5,11,4,10,2,5,1,5,1,3,13,32,0,2,0,0,5,10,0,1,0,0,4,9,0,1,0,0,2,5,0,0,0,0,1,5,0,0,0,0,1,3,0,0,0,0,13,34,13,37
Encode-Decode_Experiment-1-1,2371471,1,13,2,8,0,5,0,6,0,2,3,30,0,4,0,0,1,10,0,3,0,0,2,8,0,0,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0,1,0,1,0,0,3,34,3,38
Encode-Decode_Experiment-1-1,2374670,2,11,1,10,0,5,1,9,0,5,4,40,0,0,0,0,2,11,0,0,0,0,1,10,0,0,0,0,0,5,0,0,0,0,1,9,0,0,0,0,0,5,0,0,0,0,4,40,4,42
Encode-Decode_Experiment-1-1,2379478,4,10,1,7,2,3,2,4,0,0,9,21,0,3,0,0,4,9,0,1,0,0,1,5,0,2,0,0,2,3,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,9,24,9,25
Encode-Decode_Experiment-1-1,2383555,4,12,2,8,2,7,2,6,0,3,10,36,0,0,0,0,4,12,0,0,0,0,2,8,0,0,0,0,2,7,0,0,0,0,2,6,0,0,0,0,0,3,0,0,0,0,10,36,10,44
Encode-Decode_Experiment-1-1,2385550,5,13,2,10,1,4,3,4,0,2,11,28,0,5,0,0,5,12,0,1,0,0,2,7,0,3,0,0,1,3,0,1,0,0,3,4,0,0,0,0,0,2,0,0,0,0,11,33,11,34
Encode-Decode_Experiment-1-1,2385851,2,15,2,7,1,3,0,8,0,2,4,33,1,2,0,0,1,13,1,2,0,0,2,7,0,0,0,0,1,3,0,0,0,0,0,8,0,0,0,0,0,2,0,0,0,0,5,35,5,38
Encode-Decode_Experiment-1-1,2386442,4,16,1,11,1,2,1,6,0,1,7,32,0,4,0,0,4,13,0,3,0,0,1,11,0,0,0,0,1,2,0,0,0,0,1,6,0,0,0,0,0,0,0,1,0,0,7,36,7,39
Encode-Decode_Experiment-1-1,2387122,6,18,2,6,2,11,2,5,1,2,12,40,1,2,0,0,6,18,0,0,0,0,2,6,0,0,0,0,2,11,0,0,0,0,2,5,0,0,0,0,0,0,1,2,0,0,13,42,13,43
Encode-Decode_Experiment-1-1,2394020,3,12,1,9,1,3,0,4,1,3,6,30,0,1,0,0,3,12,0,0,0,0,1,8,0,1,0,0,1,3,0,0,0,0,0,4,0,0,0,0,1,3,0,0,0,0,6,31,6,32
Encode-Decode_Experiment-1-1,2397102,6,19,2,13,2,2,1,3,0,1,11,35,0,3,0,0,6,17,0,2,0,0,2,13,0,0,0,0,2,2,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,11,38,11,40
Encode-Decode_Experiment-1-1,2408717,2,7,3,7,1,3,0,4,1,6,7,25,0,2,0,0,2,6,0,1,0,0,3,7,0,0,0,0,1,3,0,0,0,0,0,4,0,0,0,0,1,5,0,1,0,0,7,27,7,35
Encode-Decode_Experiment-1-1,2409918,4,9,1,7,2,6,2,4,0,3,9,26,0,3,0,0,4,9,0,0,0,0,1,7,0,0,0,0,2,5,0,1,0,0,2,4,0,0,0,0,0,1,0,2,0,0,9,29,9,33
Encode-Decode_Experiment-1-1,2410309,5,14,1,3,1,7,1,7,0,0,8,27,0,4,0,0,5,12,0,2,0,0,1,2,0,1,0,0,1,6,0,1,0,0,1,7,0,0,0,0,0,0,0,0,0,0,8,31,8,40
Encode-Decode_Experiment-1-1,2411268,4,8,1,7,1,6,1,4,0,1,7,25,0,1,0,0,4,8,0,0,0,0,1,7,0,0,0,0,1,6,0,0,0,0,1,4,0,0,0,0,0,0,0,1,0,0,7,26,7,39
Encode-Decode_Experiment-1-1,2412687,3,13,1,9,2,6,0,4,1,4,7,30,0,5,0,1,3,10,0,3,0,0,1,8,0,0,0,1,2,6,0,0,0,0,0,4,0,0,0,0,1,2,0,2,0,0,7,36,7,37
Encode-Decode_Experiment-10-1,2344622,4,11,2,5,2,2,1,5,0,0,9,20,0,3,0,0,4,9,0,2,0,0,2,4,0,1,0,0,2,2,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,9,23,9,29
Encode-Decode_Experiment-10-1,2349475,7,13,1,6,4,8,1,6,0,1,11,30,2,4,0,0,6,11,1,2,0,0,1,6,0,0,0,0,3,6,1,2,0,0,1,6,0,0,0,0,0,1,0,0,0,0,13,34,13,40
Encode-Decode_Experiment-10-1,2350974,0,15,0,8,0,3,0,3,0,0,0,26,0,3,0,0,0,12,0,3,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,29,0,38
Encode-Decode_Experiment-10-1,2379478,0,10,0,7,0,3,0,4,0,0,0,21,0,3,0,0,0,9,0,1,0,0,0,5,0,2,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,24,0,25
Encode-Decode_Experiment-10-1,2383555,4,12,0,8,1,7,1,6,0,3,6,36,0,0,0,0,4,12,0,0,0,0,0,8,0,0,0,0,1,7,0,0,0,0,1,6,0,0,0,0,0,3,0,0,0,0,6,36,6,44
Encode-Decode_Experiment-10-1,2385550,9,13,5,10,2,4,2,4,0,2,16,28,2,5,0,0,8,12,1,1,0,0,4,7,1,3,0,0,2,3,0,1,0,0,2,4,0,0,0,0,0,2,0,0,0,0,18,33,18,34
Encode-Decode_Experiment-10-1,2385851,3,15,2,7,1,3,1,8,0,2,6,33,1,2,0,0,2,13,1,2,0,0,2,7,0,0,0,0,1,3,0,0,0,0,1,8,0,0,0,0,0,2,0,0,0,0,7,35,7,38
Encode-Decode_Experiment-10-1,2408717,2,7,6,7,2,3,0,4,1,6,11,25,0,2,0,0,2,6,0,1,0,0,6,7,0,0,0,0,2,3,0,0,0,0,0,4,0,0,0,0,1,5,0,1,0,0,11,27,11,35
Encode-Decode_Experiment-10-1,2411268,3,8,1,7,3,6,1,4,0,1,8,25,0,1,0,0,3,8,0,0,0,0,1,7,0,0,0,0,3,6,0,0,0,0,1,4,0,0,0,0,0,0,0,1,0,0,8,26,8,39
Encode-Decode_Experiment-11-1,2344622,4,11,1,5,2,2,1,5,0,0,8,20,0,3,0,0,4,9,0,2,0,0,1,4,0,1,0,0,2,2,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,8,23,8,29
Encode-Decode_Experiment-11-1,2349475,6,13,0,6,4,8,1,6,0,1,10,30,1,4,0,0,6,11,0,2,0,0,0,6,0,0,0,0,3,6,1,2,0,0,1,6,0,0,0,0,0,1,0,0,0,0,11,34,11,40
Encode-Decode_Experiment-11-1,2350974,1,15,0,8,1,3,0,3,0,0,2,26,0,3,0,0,1,12,0,3,0,0,0,8,0,0,0,0,1,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,29,2,38
Encode-Decode_Experiment-11-1,2379478,4,10,1,7,2,3,2,4,0,0,9,21,0,3,0,0,4,9,0,1,0,0,1,5,0,2,0,0,2,3,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,9,24,9,25
Encode-Decode_Experiment-11-1,2383555,0,12,0,8,0,7,0,6,0,3,0,36,0,0,0,0,0,12,0,0,0,0,0,8,0,0,0,0,0,7,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,36,0,44
Encode-Decode_Experiment-11-1,2385550,5,13,1,10,0,4,0,4,0,2,6,28,0,5,0,0,5,12,0,1,0,0,1,7,0,3,0,0,0,3,0,1,0,0,0,4,0,0,0,0,0,2,0,0,0,0,6,33,6,34
Encode-Decode_Experiment-11-1,2385851,3,15,3,7,1,3,1,8,0,2,7,33,1,2,0,0,2,13,1,2,0,0,3,7,0,0,0,0,1,3,0,0,0,0,1,8,0,0,0,0,0,2,0,0,0,0,8,35,8,38
Encode-Decode_Experiment-11-1,2408717,2,7,6,7,1,3,0,4,1,6,10,25,0,2,0,0,2,6,0,1,0,0,6,7,0,0,0,0,1,3,0,0,0,0,0,4,0,0,0,0,1,5,0,1,0,0,10,27,10,35
Encode-Decode_Experiment-11-1,2411268,0,8,0,7,0,6,0,4,0,1,0,25,0,1,0,0,0,8,0,0,0,0,0,7,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,26,0,39
Encode-Decode_Experiment-12-1,2344622,3,11,1,5,1,2,1,5,0,0,6,20,0,3,0,0,3,9,0,2,0,0,1,4,0,1,0,0,1,2,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,6,23,6,29
Encode-Decode_Experiment-12-1,2349475,6,13,1,6,3,8,0,6,0,1,9,30,1,4,0,0,6,11,0,2,0,0,1,6,0,0,0,0,2,6,1,2,0,0,0,6,0,0,0,0,0,1,0,0,0,0,10,34,10,40
Encode-Decode_Experiment-12-1,2350974,0,15,0,8,1,3,0,3,0,0,1,26,0,3,0,0,0,12,0,3,0,0,0,8,0,0,0,0,1,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,29,1,38
Encode-Decode_Experiment-12-1,2379478,4,10,1,7,1,3,1,4,0,0,7,21,0,3,0,0,4,9,0,1,0,0,1,5,0,2,0,0,1,3,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,7,24,7,25
Encode-Decode_Experiment-12-1,2383555,3,12,1,8,2,7,0,6,0,3,6,36,0,0,0,0,3,12,0,0,0,0,1,8,0,0,0,0,2,7,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,6,36,6,44
Encode-Decode_Experiment-12-1,2385550,5,13,1,10,1,4,0,4,0,2,7,28,0,5,0,0,5,12,0,1,0,0,1,7,0,3,0,0,1,3,0,1,0,0,0,4,0,0,0,0,0,2,0,0,0,0,7,33,7,34
Encode-Decode_Experiment-12-1,2385851,4,15,4,7,2,3,2,8,0,2,12,33,0,2,0,0,4,13,0,2,0,0,4,7,0,0,0,0,2,3,0,0,0,0,2,8,0,0,0,0,0,2,0,0,0,0,12,35,12,38
Encode-Decode_Experiment-12-1,2408717,2,7,1,7,2,3,0,4,1,6,5,25,1,2,0,0,1,6,1,1,0,0,1,7,0,0,0,0,2,3,0,0,0,0,0,4,0,0,0,0,1,5,0,1,0,0,6,27,6,35
Encode-Decode_Experiment-12-1,2411268,4,8,4,7,1,6,0,4,0,1,9,25,0,1,0,0,4,8,0,0,0,0,4,7,0,0,0,0,1,6,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,9,26,9,39
Encode-Decode_Experiment-13-1,2344622,6,11,3,5,2,2,3,5,0,0,13,20,1,3,0,0,5,9,1,2,0,0,3,4,0,1,0,0,2,2,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,14,23,14,29
Encode-Decode_Experiment-13-1,2349475,4,13,1,6,3,8,0,6,0,1,7,30,1,4,0,0,4,11,0,2,0,0,1,6,0,0,0,0,2,6,1,2,0,0,0,6,0,0,0,0,0,1,0,0,0,0,8,34,8,40
Encode-Decode_Experiment-13-1,2350974,0,15,0,8,0,3,0,3,0,0,0,26,0,3,0,0,0,12,0,3,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,29,0,38
Encode-Decode_Experiment-13-1,2379478,4,10,1,7,2,3,3,4,0,0,10,21,0,3,0,0,4,9,0,1,0,0,1,5,0,2,0,0,2,3,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,10,24,10,25
Encode-Decode_Experiment-13-1,2383555,3,12,1,8,2,7,0,6,0,3,6,36,0,0,0,0,3,12,0,0,0,0,1,8,0,0,0,0,2,7,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,6,36,6,44
Encode-Decode_Experiment-13-1,2385550,5,13,3,10,0,4,3,4,0,2,10,28,1,5,0,0,5,12,0,1,0,0,2,7,1,3,0,0,0,3,0,1,0,0,3,4,0,0,0,0,0,2,0,0,0,0,11,33,11,34
Encode-Decode_Experiment-13-1,2385851,3,15,2,7,1,3,2,8,0,2,7,33,1,2,0,0,2,13,1,2,0,0,2,7,0,0,0,0,1,3,0,0,0,0,2,8,0,0,0,0,0,2,0,0,0,0,8,35,8,38
Encode-Decode_Experiment-13-1,2408717,2,7,2,7,1,3,0,4,1,6,6,25,0,2,0,0,2,6,0,1,0,0,2,7,0,0,0,0,1,3,0,0,0,0,0,4,0,0,0,0,1,5,0,1,0,0,6,27,6,35
Encode-Decode_Experiment-13-1,2411268,0,8,0,7,0,6,0,4,0,1,0,25,0,1,0,0,0,8,0,0,0,0,0,7,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,26,0,39
